Name,Link
CAC 40,https://www.investing.com/indices/france-40-historical-data
CAC Mid & Small,https://www.investing.com/indices/cac-mid---small-190-historical-data
DAX,https://www.investing.com/indices/germany-30-historical-data
DAX Midcap,https://www.investing.com/indices/mdaxi-historical-data
EUR_USD,https://www.investing.com/currencies/eur-usd-historical-data
Euro Stoxx 50,https://www.investing.com/indices/eu-stoxx50-historical-data
FTSE 100,https://www.investing.com/indices/uk-100-historical-data
FTSE 250,https://www.investing.com/indices/uk-250-historical-data
FTSE Italia Mid Cap,https://www.investing.com/indices/ftse-italia-mid-cap-historical-data
FTSE MIB,https://www.investing.com/indices/it-mib-40-historical-data
GBP_USD,https://www.investing.com/currencies/gbp-usd-historical-data
Gold Futures,https://www.investing.com/commodities/gold-historical-data
Hang Seng,https://www.investing.com/indices/hang-sen-40-historical-data
MOEX Russia,https://www.investing.com/indices/mcx-historical-data
NASDAQ Russia Small Cap,https://www.investing.com/indices/nq-russia-small-cap-historical-data
Nikkei 225,https://www.investing.com/indices/japan-ni225-historical-data
S&P 500,https://www.investing.com/indices/us-spx-500-historical-data
S&P Midcap 400,https://www.investing.com/indices/s-p-midcap-400-historical-data
S&P_TSX Canadian MidCap,https://www.investing.com/indices/s-p-tsx-completion-historical-data
S&P_TSX Composite,https://www.investing.com/indices/s-p-tsx-composite-historical-data
Shanghai Composite,https://www.investing.com/indices/shanghai-composite-historical-data
United States 10-Year Bond Yield,https://www.investing.com/rates-bonds/u.s.-10-year-bond-yield-historical-data
US Dollar Index Futures,https://www.investing.com/quotes/us-dollar-index-historical-data
USD_CAD,https://www.investing.com/currencies/usd-cad-historical-data
USD_CNH,https://www.investing.com/currencies/usd-cnh-historical-data
USD_JPY,https://www.investing.com/currencies/usd-jpy-historical-data
USD_RUB,https://www.investing.com/currencies/usd-rub-historical-data
