HSI,type,name,動能差,向量寬度,向量寬度currency type
,asset,Hang Seng,0,0,0
,global risk,S&P 500,1,0,0
,local risk,Shanghai Composite,0,proxy,0
,local risk,USD_CNH,0,cash flow,1
,避險資產,USD_JPY,0,0,0
,避險資產,United States 10-Year Bond Yield,0,0,0
S&P 500,type,name,動能差,向量寬度,向量寬度currency type
,asset,S&P 500,0,0,0
,global risk,United States 10-Year Bond Yield,0,0,0
,global risk,Euro Stoxx 50,1,0,0
,local risk,S&P Midcap 400,0,proxy,0
,local risk,US Dollar Index Futures,0,cash flow,0
,避險資產,USD_JPY,0,0,0
DAX,type,name,動能差,向量寬度,向量寬度currency type
,asset,DAX,0,0,0
,global risk,S&P 500,1,0,0
,local risk,DAX Midcap,0,proxy,0
,local risk,EUR_USD,0,cash flow,0
,避險資產,USD_JPY,0,0,0
,避險資產,United States 10-Year Bond Yield,0,0,0
FTSE 100,type,name,動能差,向量寬度,向量寬度currency type
,asset,FTSE 100,0,0,0
,global risk,S&P 500,1,0,0
,local risk,FTSE 250,0,proxy,0
,local risk,GBP_USD,0,cash flow,0
,避險資產,USD_JPY,0,0,0
,避險資產,United States 10-Year Bond Yield,0,0,0
CAC 40,type,name,動能差,向量寬度,向量寬度currency type
,asset,CAC 40,0,0,0
,global risk,S&P 500,1,0,0
,local risk,CAC Mid & Small,0,proxy,0
,local risk,EUR_USD,0,cash flow,0
,避險資產,USD_JPY,0,0,0
,避險資產,United States 10-Year Bond Yield,0,0,0
S&P_TSX Composite,type,name,動能差,向量寬度,向量寬度currency type
,asset,S&P_TSX Composite,0,0,0
,global risk,S&P 500,1,0,0
,local risk,S&P_TSX Canadian MidCap,0,proxy,0
,local risk,USD_CAD,0,cash flow,1
,避險資產,USD_JPY,0,0,0
,避險資產,United States 10-Year Bond Yield,0,0,0
Italy,type,name,動能差,向量寬度,向量寬度currency type
,asset,FTSE MIB,0,0,0
,global risk,S&P 500,1,0,0
,local risk,FTSE Italia Mid Cap,0,proxy,0
,local risk,EUR_USD,0,cash flow,0
,避險資產,USD_JPY,0,0,0
,避險資產,United States 10-Year Bond Yield,0,0,0
Russia,type,name,動能差,向量寬度,向量寬度currency type
,asset,MOEX Russia,0,0,0
,global risk,S&P 500,1,0,0
,local risk,NASDAQ Russia Small Cap,0,proxy,0
,local risk,USD_RUB,0,cash flow,1
,避險資產,USD_JPY,0,0,0
,避險資產,United States 10-Year Bond Yield,0,0,0
