Date,Price,Open,High,Low,Vol.,Change %
Jan 03 2011,3900.86,3844.50,3903.30,3833.30,72.03M,2.53%
Jan 04 2011,3916.03,3903.50,3944.80,3889.30,109.20M,0.39%
Jan 05 2011,3904.61,3902.30,3905.00,3849.30,116.34M,-0.29%
Jan 06 2011,3904.42,3908.00,3944.80,3893.00,124.40M,-0.00%
Jan 07 2011,3865.58,3890.50,3913.80,3861.30,113.24M,-0.99%
Jan 10 2011,3802.03,3844.80,3846.80,3790.80,123.91M,-1.64%
Jan 11 2011,3861.92,3819.00,3867.80,3810.30,135.10M,1.58%
Jan 12 2011,3945.07,3870.80,3946.30,3868.80,177.69M,2.15%
Jan 13 2011,3974.83,3947.80,3976.30,3943.80,185.02M,0.75%
Jan 14 2011,3983.28,3962.30,3991.80,3953.80,136.63M,0.21%
Jan 17 2011,3975.41,3986.00,3990.50,3965.80,79.48M,-0.20%
Jan 18 2011,4012.68,3988.30,4016.30,3987.00,138.54M,0.94%
Jan 19 2011,3976.71,4020.80,4022.30,3973.30,151.93M,-0.90%
Jan 20 2011,3964.84,3971.00,3989.80,3949.30,171.67M,-0.30%
Jan 21 2011,4017.45,3981.80,4058.30,3978.30,189.64M,1.33%
Jan 24 2011,4033.21,4025.30,4037.00,4001.30,113.05M,0.39%
Jan 25 2011,4019.62,4049.50,4056.80,4016.30,149.31M,-0.34%
Jan 26 2011,4049.07,4045.50,4066.30,4039.50,159.65M,0.73%
Jan 27 2011,4059.57,4039.30,4077.80,4032.00,155.31M,0.26%
Jan 28 2011,4002.32,4050.30,4072.30,4002.32,159.52M,-1.41%
Jan 31 2011,4005.50,3997.00,4018.80,3952.30,149.67M,0.08%
Feb 01 2011,4072.62,4039.30,4078.30,4017.80,145.72M,1.68%
Feb 02 2011,4066.53,4085.00,4087.80,4050.10,135.37M,-0.15%
Feb 03 2011,4036.59,4053.60,4059.60,4007.30,132.59M,-0.74%
Feb 04 2011,4047.21,4049.00,4060.00,4026.00,125.92M,0.26%
Feb 07 2011,4090.80,4056.50,4098.30,4050.00,135.17M,1.08%
Feb 08 2011,4108.27,4081.30,4109.30,4077.30,150.04M,0.43%
Feb 09 2011,4090.74,4101.30,4119.80,4090.74,148.47M,-0.43%
Feb 10 2011,4095.14,4082.80,4096.00,4041.30,274.59M,0.11%
