Date,Price,Open,High,Low,Vol.,Change %
Jan 03 2011,7269.33,7223.48,7269.33,7223.48,14.71M,1.04%
Jan 04 2011,7312.97,7293.47,7312.97,7293.47,23.58M,0.60%
Jan 05 2011,7313.83,7309.47,7313.83,7309.47,24.59M,0.01%
Jan 06 2011,7327.73,7328.79,7328.79,7327.73,29.25M,0.19%
Jan 07 2011,7304.86,7341.28,7341.28,7304.86,20.60M,-0.31%
Jan 10 2011,7227.01,7304.76,7304.76,7227.01,23.58M,-1.07%
Jan 11 2011,7316.64,7246.13,7316.64,7246.13,23.51M,1.24%
Jan 12 2011,7354.66,7327.54,7354.66,7327.54,23.86M,0.52%
Jan 13 2011,7344.07,7361.68,7361.68,7344.07,22.73M,-0.14%
Jan 14 2011,7342.76,7338.07,7342.76,7338.07,20.91M,-0.02%
Jan 17 2011,7342.07,7366.61,7366.61,7342.07,16.67M,-0.01%
Jan 18 2011,7391.49,7363.69,7391.49,7363.69,22.46M,0.67%
Jan 19 2011,7346.62,7422.53,7422.53,7346.62,20.46M,-0.61%
Jan 20 2011,7241.13,7342.53,7342.53,7241.13,23.77M,-1.44%
Jan 21 2011,7276.98,7264.11,7276.98,7264.11,23.04M,0.50%
Jan 24 2011,7272.57,7301.82,7301.82,7272.57,19.20M,-0.06%
Jan 25 2011,7270.38,7294.73,7294.73,7270.38,20.55M,-0.03%
Jan 26 2011,7354.13,7297.41,7354.13,7297.41,20.21M,1.15%
Jan 27 2011,7380.73,7364.80,7380.73,7364.80,17.98M,0.36%
Jan 28 2011,7361.45,7394.01,7394.01,7361.45,23.06M,-0.26%
Jan 31 2011,7313.64,7341.55,7341.55,7313.64,38.86M,-0.65%
Feb 01 2011,7408.50,7345.18,7408.50,7345.18,30.16M,1.30%
Feb 02 2011,7400.82,7424.23,7424.23,7400.82,25.24M,-0.10%
Feb 03 2011,7380.44,7399.78,7399.78,7380.44,20.99M,-0.28%
Feb 04 2011,7430.19,7401.43,7430.19,7401.43,19.59M,0.67%
Feb 07 2011,7509.59,7443.62,7509.59,7443.62,30.91M,1.07%
Feb 08 2011,7546.35,7515.38,7546.35,7515.38,33.49M,0.49%
Feb 09 2011,7529.09,7545.34,7545.34,7529.09,38.85M,-0.23%
Feb 10 2011,7486.68,7526.45,7526.45,7486.68,28.50M,-0.56%
Feb 11 2011,7517.45,7484.58,7517.45,7484.58,31.19M,0.41%
Feb 14 2011,7568.99,7549.08,7568.99,7549.08,25.58M,0.69%
Feb 15 2011,7548.42,7578.22,7578.22,7548.42,23.14M,-0.27%
Feb 16 2011,7556.76,7559.46,7559.46,7556.76,23.66M,0.11%
Feb 17 2011,7540.64,7576.14,7576.14,7540.64,36.38M,-0.21%
Feb 18 2011,7555.83,7560.76,7560.76,7555.83,40.93M,0.20%
Feb 21 2011,7476.77,7549.94,7549.94,7476.77,27.47M,-1.05%
Feb 22 2011,7398.53,7432.79,7432.79,7398.53,30.16M,-1.05%
Feb 23 2011,7342.61,7386.43,7386.43,7342.61,31.21M,-0.76%
Feb 24 2011,7298.48,7316.88,7316.88,7298.48,24.70M,-0.60%
Feb 25 2011,7448.78,7330.63,7448.78,7330.63,21.59M,2.06%
Feb 28 2011,7536.88,7471.48,7536.88,7471.48,36.91M,1.18%
Mar 01 2011,7546.19,7558.54,7558.54,7546.19,37.80M,0.12%
Mar 02 2011,7483.57,7499.56,7499.56,7483.57,25.46M,-0.83%
Mar 03 2011,7529.68,7511.30,7529.68,7511.30,10.13M,0.62%
Mar 04 2011,7509.39,7549.44,7549.44,7509.39,16.32M,-0.27%
Mar 07 2011,7515.01,7497.16,7515.01,7497.16,15.63M,0.07%
Mar 08 2011,7522.47,7522.35,7522.47,7522.35,12.93M,0.10%
