Date,Price,Open,High,Low,Vol.,Change %
Jan 03 2011,6989.74,6973.39,7026.62,6969.83,61.89M,1.09%
Jan 04 2011,6975.35,6979.68,7025.86,6952.02,87.67M,-0.21%
Jan 05 2011,6939.82,6966.08,6967.24,6842.90,117.14M,-0.51%
Jan 06 2011,6981.39,6949.48,7047.59,6949.07,91.24M,0.60%
Jan 07 2011,6947.84,6991.55,7010.89,6939.88,92.63M,-0.48%
Jan 10 2011,6857.06,6920.36,6941.39,6835.74,93.17M,-1.31%
Jan 11 2011,6941.57,6879.39,6951.19,6860.52,115.26M,1.23%
Jan 12 2011,7068.78,6958.84,7070.40,6958.50,122.56M,1.83%
Jan 13 2011,7075.11,7075.54,7084.07,7036.09,160.36M,0.09%
Jan 14 2011,7075.70,7055.42,7083.02,7015.35,125.09M,0.01%
Jan 17 2011,7078.06,7072.75,7087.43,7055.83,79.25M,0.03%
Jan 18 2011,7143.45,7100.48,7156.25,7099.12,121.73M,0.92%
Jan 19 2011,7082.76,7163.37,7165.00,7077.23,110.00M,-0.85%
Jan 20 2011,7024.27,7074.89,7084.24,7008.62,154.43M,-0.83%
Jan 21 2011,7062.42,7047.70,7122.89,7023.69,173.92M,0.54%
Jan 24 2011,7067.77,7080.78,7089.62,7000.41,121.57M,0.08%
Jan 25 2011,7059.01,7096.84,7102.08,7043.64,122.87M,-0.12%
Jan 26 2011,7127.35,7092.89,7160.86,7087.25,109.51M,0.97%
Jan 27 2011,7155.58,7120.64,7180.15,7114.35,113.48M,0.40%
Jan 28 2011,7102.80,7155.47,7177.23,7102.80,96.02M,-0.74%
Jan 31 2011,7077.48,7094.56,7107.37,7033.09,93.02M,-0.36%
Feb 01 2011,7184.27,7133.34,7190.75,7105.31,117.37M,1.51%
Feb 02 2011,7183.67,7202.62,7222.13,7160.36,114.24M,-0.01%
Feb 03 2011,7193.68,7175.75,7198.98,7144.08,105.09M,0.14%
Feb 04 2011,7216.21,7216.66,7226.64,7186.24,94.08M,0.31%
Feb 07 2011,7283.62,7222.05,7287.66,7214.05,93.21M,0.93%
Feb 08 2011,7323.24,7274.17,7325.03,7272.80,98.88M,0.54%
Feb 09 2011,7320.90,7319.12,7350.78,7310.44,81.82M,-0.03%
Feb 10 2011,7340.28,7322.62,7340.87,7269.53,105.38M,0.26%
Feb 11 2011,7371.20,7320.07,7390.48,7283.87,96.10M,0.42%
Feb 14 2011,7396.63,7403.83,7424.36,7378.41,69.64M,0.34%
Feb 15 2011,7400.04,7397.68,7420.69,7376.24,101.59M,0.05%
Feb 16 2011,7414.30,7414.23,7438.42,7399.82,122.45M,0.19%
Feb 17 2011,7405.51,7429.00,7434.93,7364.04,112.23M,-0.12%
Feb 18 2011,7426.81,7422.11,7427.30,7379.94,122.19M,0.29%
Feb 21 2011,7321.81,7412.06,7441.82,7310.69,100.85M,-1.41%
Feb 22 2011,7318.35,7293.11,7350.95,7259.67,121.30M,-0.05%
Feb 23 2011,7194.60,7295.12,7310.73,7183.30,118.02M,-1.69%
