Date,Price,Open,High,Low,Vol.,Change %
Jan 03 2011,10192.07,10147.23,10226.68,10145.56,15.02M,0.63%
Jan 04 2011,10178.10,10196.12,10224.78,10161.30,18.84M,-0.14%
Jan 05 2011,10054.82,10188.87,10188.87,9957.87,17.63M,-1.21%
Jan 06 2011,10099.40,10071.70,10172.20,10071.70,19.60M,0.44%
Jan 07 2011,10074.83,10115.79,10124.82,10064.01,14.49M,-0.24%
Jan 10 2011,9903.87,10052.77,10059.44,9882.48,20.23M,-1.70%
Jan 11 2011,10119.87,9932.95,10134.99,9932.95,16.91M,2.18%
Jan 12 2011,10310.24,10127.46,10338.65,10127.38,48.07M,1.88%
Jan 13 2011,10291.91,10327.66,10352.36,10226.36,29.70M,-0.18%
Jan 14 2011,10301.05,10270.67,10315.81,10220.36,21.22M,0.09%
Jan 17 2011,10275.69,10300.64,10316.67,10224.42,12.25M,-0.25%
Jan 18 2011,10382.32,10283.29,10404.11,10283.29,22.98M,1.04%
Jan 19 2011,10248.13,10393.35,10411.12,10227.75,24.33M,-1.29%
Jan 20 2011,10075.60,10217.07,10237.16,10034.77,29.34M,-1.68%
Jan 21 2011,10091.58,10082.09,10181.49,10055.79,22.34M,0.16%
Jan 24 2011,10064.81,10125.18,10147.93,9943.19,27.29M,-0.27%
Jan 25 2011,10047.95,10087.36,10118.67,10042.31,31.08M,-0.17%
Jan 26 2011,10213.70,10084.05,10242.23,10082.75,24.35M,1.65%
Jan 27 2011,10273.29,10236.04,10339.04,10229.59,26.04M,0.58%
Jan 28 2011,10234.84,10285.07,10359.13,10234.84,26.31M,-0.37%
Jan 31 2011,10139.89,10214.32,10215.11,10055.73,22.30M,-0.93%
Feb 01 2011,10262.72,10177.81,10278.43,10175.52,25.22M,1.21%
Feb 02 2011,10241.47,10297.87,10356.45,10208.35,22.47M,-0.21%
Feb 03 2011,10269.65,10233.17,10284.16,10185.37,23.50M,0.28%
Feb 04 2011,10302.35,10285.74,10338.74,10284.11,17.14M,0.32%
Feb 07 2011,10443.65,10333.42,10447.26,10333.42,21.76M,1.37%
Feb 08 2011,10533.81,10436.02,10539.36,10429.42,24.56M,0.86%
Feb 09 2011,10525.29,10545.60,10591.05,10519.47,28.77M,-0.08%
Feb 10 2011,10489.53,10529.06,10529.06,10393.83,24.06M,-0.34%
Feb 11 2011,10552.15,10469.92,10574.51,10421.27,29.65M,0.60%
Feb 14 2011,10610.74,10579.04,10635.74,10579.02,19.37M,0.56%
Feb 15 2011,10588.88,10607.01,10620.81,10547.35,18.03M,-0.21%
Feb 16 2011,10585.53,10592.24,10629.01,10540.09,21.13M,-0.03%
Feb 17 2011,10518.06,10592.39,10603.37,10460.09,22.87M,-0.64%
Feb 18 2011,10513.96,10528.76,10529.61,10422.18,25.10M,-0.04%
Feb 21 2011,10338.55,10497.28,10527.10,10331.65,21.18M,-1.67%
Feb 22 2011,10304.49,10279.68,10335.96,10145.45,24.48M,-0.33%
Feb 23 2011,10122.33,10267.29,10274.76,10088.64,23.74M,-1.77%
Feb 24 2011,10016.48,10073.84,10083.61,9966.19,31.45M,-1.05%
Feb 25 2011,10182.38,10038.38,10205.74,10009.88,19.42M,1.66%
Feb 28 2011,10293.83,10179.20,10316.92,10167.22,20.34M,1.09%
Mar 01 2011,10304.82,10328.31,10446.26,10258.26,25.02M,0.11%
Mar 02 2011,10182.18,10253.00,10253.00,10087.74,21.63M,-1.19%
Mar 03 2011,10182.05,10210.43,10244.77,10150.16,19.54M,-0.00%
Mar 04 2011,10148.53,10204.94,10268.79,10116.55,22.13M,-0.33%
Mar 07 2011,10163.89,10134.67,10269.25,10067.56,25.12M,0.15%
Mar 08 2011,10228.57,10194.64,10252.61,10145.24,21.00M,0.64%
Mar 09 2011,10290.18,10244.92,10381.88,10243.25,30.98M,0.60%
Mar 10 2011,10152.25,10272.58,10276.97,10119.68,30.12M,-1.34%
Mar 11 2011,10011.76,10100.08,10101.48,9998.02,23.18M,-1.38%
Mar 14 2011,9880.77,9919.06,9966.52,9814.18,31.68M,-1.31%
Mar 15 2011,9628.76,9713.23,9713.23,9362.94,55.67M,-2.55%
Mar 16 2011,9565.61,9660.54,9827.45,9563.24,33.47M,-0.66%
