Date,Price,Open,High,Low,Vol.,Change %
Aug 15 2011,2324.48,2320.62,2339.92,2306.24,32.52M,-16.97%
Aug 16 2011,2323.67,2309.57,2323.67,2269.99,102.98M,-0.03%
Aug 17 2011,2331.12,2313.37,2355.67,2281.88,88.84M,0.32%
Aug 18 2011,2206.61,2313.16,2313.16,2177.29,130.88M,-5.34%
Aug 19 2011,2159.07,2203.18,2203.18,2117.68,158.30M,-2.15%
Aug 22 2011,2183.39,2148.00,2227.14,2140.32,99.09M,1.13%
Aug 23 2011,2199.98,2199.90,2239.91,2173.79,95.16M,0.76%
Aug 24 2011,2238.70,2209.12,2258.13,2191.74,84.34M,1.76%
Aug 25 2011,2216.70,2251.86,2273.42,2197.38,113.52M,-0.98%
Aug 26 2011,2190.44,2216.37,2220.34,2140.57,91.72M,-1.18%
Aug 29 2011,2239.30,2208.62,2253.33,2208.62,51.64M,2.23%
Aug 30 2011,2239.14,2252.20,2264.09,2216.31,72.44M,-0.01%
Aug 31 2011,2302.08,2248.31,2314.87,2240.28,101.99M,2.81%
Sep 01 2011,2305.75,2309.64,2326.78,2265.23,92.40M,0.16%
Sep 02 2011,2220.72,2287.26,2287.26,2207.21,92.48M,-3.69%
Sep 05 2011,2107.27,2191.17,2191.17,2092.71,104.71M,-5.11%
Sep 06 2011,2080.10,2107.40,2138.61,2063.58,142.40M,-1.29%
Sep 07 2011,2151.16,2106.18,2151.16,2106.18,94.88M,3.42%
Sep 08 2011,2163.40,2148.86,2185.29,2131.36,94.62M,0.57%
Sep 09 2011,2073.67,2154.20,2158.90,2069.64,111.07M,-4.15%
Sep 12 2011,1995.01,2042.71,2042.71,1971.02,172.49M,-3.79%
Sep 13 2011,2036.64,2016.93,2045.96,1948.65,164.16M,2.09%
Sep 14 2011,2083.38,2017.35,2087.84,2007.87,139.14M,2.29%
Sep 15 2011,2155.62,2091.50,2185.58,2091.50,139.49M,3.47%
Sep 16 2011,2159.28,2172.73,2192.41,2145.89,208.33M,0.17%
Sep 19 2011,2096.10,2123.89,2123.89,2080.16,89.61M,-2.93%
Sep 20 2011,2140.41,2084.48,2143.25,2076.68,100.89M,2.11%
Sep 21 2011,2098.49,2138.21,2138.55,2093.89,92.00M,-1.96%
Sep 22 2011,1995.75,2070.68,2070.68,1985.38,145.18M,-4.90%
Sep 23 2011,2026.03,2013.88,2027.73,1935.89,139.84M,1.52%
Sep 26 2011,2083.35,2004.97,2116.13,1993.71,167.79M,2.83%
Sep 27 2011,2194.03,2108.47,2194.43,2108.47,150.00M,5.31%
Sep 28 2011,2176.64,2179.13,2221.12,2159.46,110.35M,-0.79%
Sep 29 2011,2212.44,2168.20,2232.02,2162.17,124.56M,1.64%
Sep 30 2011,2179.66,2204.93,2204.93,2153.27,107.53M,-1.48%
Oct 03 2011,2138.24,2146.70,2153.90,2108.72,85.21M,-1.90%
Oct 04 2011,2091.09,2117.88,2117.88,2054.98,110.80M,-2.21%
Oct 05 2011,2179.42,2118.75,2180.22,2115.38,100.78M,4.22%
Oct 06 2011,2248.78,2191.07,2248.78,2188.76,126.06M,3.18%
Oct 07 2011,2269.19,2248.48,2290.73,2237.36,118.65M,0.91%
Oct 10 2011,2320.80,2288.16,2322.57,2267.94,104.43M,2.27%
Oct 11 2011,2315.97,2315.29,2320.57,2285.63,148.64M,-0.21%
Oct 12 2011,2372.15,2311.47,2378.92,2293.37,129.96M,2.43%
Oct 13 2011,2332.52,2361.62,2384.41,2319.73,135.38M,-1.67%
Oct 14 2011,2355.48,2339.65,2379.86,2320.55,123.55M,0.98%
Oct 17 2011,2315.89,2368.79,2393.40,2303.01,106.06M,-1.68%
Oct 18 2011,2306.81,2298.05,2314.01,2269.53,87.77M,-0.39%
Oct 19 2011,2330.08,2316.72,2345.12,2311.61,91.75M,1.01%
Oct 20 2011,2271.77,2311.92,2324.77,2268.01,140.28M,-2.50%
Oct 21 2011,2337.51,2283.85,2340.81,2279.25,118.88M,2.89%
Oct 24 2011,2369.07,2346.83,2372.25,2323.69,84.15M,1.35%
Oct 25 2011,2343.96,2360.56,2375.17,2321.86,83.60M,-1.06%
Oct 26 2011,2335.06,2342.73,2380.24,2316.62,88.78M,-0.38%
Oct 27 2011,2476.92,2361.68,2482.92,2361.68,156.30M,6.08%
Oct 28 2011,2462.36,2480.89,2506.22,2449.09,118.69M,-0.59%
Oct 31 2011,2385.22,2443.68,2443.68,2385.22,88.15M,-3.13%
Nov 01 2011,2259.73,2352.76,2352.76,2241.69,146.05M,-5.26%
Nov 02 2011,2291.89,2278.70,2301.29,2240.16,120.58M,1.42%
Nov 03 2011,2347.94,2254.53,2373.00,2238.16,151.74M,2.45%
Nov 04 2011,2291.47,2355.96,2370.38,2278.75,119.81M,-2.41%
Nov 07 2011,2275.92,2275.16,2307.18,2231.68,114.59M,-0.68%
Nov 08 2011,2303.20,2279.44,2347.25,2276.68,102.00M,1.20%
Nov 09 2011,2249.39,2318.95,2334.11,2225.75,145.42M,-2.34%
Nov 10 2011,2254.92,2223.49,2291.31,2211.37,125.69M,0.25%
Nov 11 2011,2324.81,2259.32,2329.54,2252.03,113.33M,3.10%
Nov 14 2011,2288.32,2333.27,2344.81,2273.83,111.77M,-1.57%
Nov 15 2011,2254.00,2274.30,2281.45,2227.88,113.81M,-1.50%
Nov 16 2011,2267.96,2249.05,2299.11,2238.39,98.94M,0.62%
Nov 17 2011,2242.78,2261.93,2270.83,2225.70,79.84M,-1.11%
Nov 18 2011,2236.68,2233.30,2264.25,2220.27,82.33M,-0.27%
Nov 21 2011,2160.28,2226.25,2226.25,2159.71,77.98M,-3.42%
Nov 22 2011,2136.81,2172.52,2189.59,2136.81,75.86M,-1.09%
Nov 23 2011,2096.79,2123.39,2146.36,2096.79,87.90M,-1.87%
Nov 24 2011,2090.25,2108.42,2134.33,2076.65,82.70M,-0.31%
Nov 25 2011,2111.26,2090.66,2121.15,2065.75,73.74M,1.01%
Nov 28 2011,2221.76,2128.58,2221.76,2128.58,99.34M,5.23%
Nov 29 2011,2234.17,2215.16,2245.86,2191.02,84.33M,0.56%
Nov 30 2011,2330.43,2218.00,2341.32,2203.52,141.70M,4.31%
Dec 01 2011,2313.84,2328.62,2342.15,2304.61,86.90M,-0.71%
Dec 02 2011,2342.50,2331.40,2371.22,2331.40,107.76M,1.24%
Dec 05 2011,2369.39,2357.91,2384.41,2356.17,94.10M,1.15%
Dec 06 2011,2356.71,2356.28,2372.41,2342.65,81.38M,-0.54%
Dec 07 2011,2344.92,2379.69,2402.39,2311.07,102.76M,-0.50%
Dec 08 2011,2288.05,2357.82,2373.34,2284.91,104.78M,-2.43%
Dec 09 2011,2342.59,2277.16,2346.59,2265.80,103.45M,2.38%
Dec 12 2011,2269.46,2332.48,2332.48,2269.46,78.65M,-3.12%
Dec 13 2011,2260.98,2271.14,2289.22,2245.42,84.59M,-0.37%
Dec 14 2011,2205.91,2252.44,2261.75,2205.91,89.69M,-2.44%
Dec 15 2011,2224.89,2212.74,2244.49,2206.62,90.00M,0.86%
Dec 16 2011,2202.72,2229.73,2240.99,2199.00,159.56M,-1.00%
Dec 19 2011,2202.95,2193.54,2234.32,2182.76,70.58M,0.01%
Dec 20 2011,2262.39,2200.50,2262.39,2191.16,78.07M,2.70%
Dec 21 2011,2244.35,2275.60,2313.15,2237.54,110.49M,-0.80%
Dec 22 2011,2273.02,2253.12,2282.10,2253.12,59.55M,1.28%
Dec 23 2011,2290.37,2286.06,2298.47,2281.65,48.11M,0.76%
Dec 27 2011,2290.31,2294.15,2309.03,2285.87,23.08M,-0.00%
Dec 28 2011,2255.03,2290.98,2307.07,2255.03,35.98M,-1.54%
Dec 29 2011,2292.28,2261.40,2292.28,2249.89,34.09M,1.65%
Dec 30 2011,2316.55,2296.97,2316.55,2287.45,28.23M,1.06%
Jan 02 2012,2370.20,2315.75,2370.20,2315.75,-,2.32%
Jan 03 2012,2389.91,2375.35,2392.15,2357.52,58.26M,0.83%
Jan 04 2012,2349.89,2380.78,2383.19,2342.11,62.96M,-1.67%
Jan 05 2012,2315.75,2352.86,2354.68,2308.87,74.72M,-1.45%
Jan 06 2012,2298.65,2318.40,2342.24,2287.69,67.27M,-0.74%
Jan 09 2012,2286.45,2301.15,2312.86,2279.73,70.03M,-0.53%
Jan 10 2012,2347.47,2295.10,2354.75,2295.10,89.42M,2.67%
Jan 11 2012,2339.51,2345.12,2359.81,2322.89,76.70M,-0.34%
Jan 12 2012,2345.85,2342.87,2384.25,2338.30,107.11M,0.27%
Jan 13 2012,2338.01,2359.02,2372.80,2307.62,90.81M,-0.33%
Jan 16 2012,2361.56,2329.07,2365.63,2315.23,63.50M,1.01%
Jan 17 2012,2396.63,2374.55,2411.40,2374.55,83.60M,1.49%
Jan 18 2012,2390.64,2399.39,2423.02,2373.66,81.11M,-0.25%
Jan 19 2012,2435.04,2398.04,2435.04,2391.18,128.89M,1.86%
Jan 20 2012,2426.96,2435.70,2440.29,2418.31,110.24M,-0.33%
Jan 23 2012,2441.44,2426.45,2452.43,2417.07,97.03M,0.60%
Jan 24 2012,2432.07,2434.45,2434.45,2407.36,89.32M,-0.38%
Jan 25 2012,2421.12,2432.74,2439.26,2398.42,87.94M,-0.45%
Jan 26 2012,2460.40,2429.37,2466.15,2427.95,104.15M,1.62%
Jan 27 2012,2436.62,2452.20,2467.62,2431.29,77.36M,-0.97%
Jan 30 2012,2404.62,2426.56,2426.56,2397.48,70.90M,-1.31%
Jan 31 2012,2416.66,2417.02,2438.42,2412.42,87.66M,0.50%
Feb 01 2012,2470.79,2425.83,2475.58,2425.83,103.27M,2.24%
Feb 02 2012,2478.15,2478.32,2490.44,2461.72,84.97M,0.30%
Feb 03 2012,2515.15,2475.64,2515.15,2467.70,93.72M,1.49%
Feb 06 2012,2507.89,2508.38,2510.93,2486.95,67.13M,-0.29%
Feb 07 2012,2514.12,2511.86,2519.77,2485.69,72.29M,0.25%
Feb 08 2012,2512.92,2519.03,2538.56,2510.71,104.10M,-0.05%
Feb 09 2012,2522.34,2515.55,2542.98,2512.93,87.66M,0.37%
Feb 10 2012,2480.76,2510.55,2510.55,2471.19,76.17M,-1.65%
Feb 13 2012,2491.54,2491.98,2510.72,2484.11,56.86M,0.43%
Feb 14 2012,2488.29,2486.09,2507.66,2476.88,59.45M,-0.13%
Feb 15 2012,2493.96,2499.23,2520.78,2485.53,62.32M,0.23%
Feb 16 2012,2489.35,2480.74,2489.35,2454.98,84.43M,-0.18%
Feb 17 2012,2520.31,2501.45,2530.83,2501.45,74.63M,1.24%
Feb 20 2012,2550.28,2529.76,2551.18,2529.76,51.26M,1.19%
Feb 21 2012,2541.60,2551.55,2557.86,2523.67,60.89M,-0.34%
Feb 22 2012,2519.00,2544.04,2546.12,2516.93,58.85M,-0.89%
Feb 23 2012,2508.08,2516.70,2534.00,2489.27,71.34M,-0.43%
Feb 24 2012,2523.69,2514.61,2531.68,2511.77,79.30M,0.62%
Feb 27 2012,2513.06,2516.75,2519.37,2484.07,69.19M,-0.42%
Feb 28 2012,2519.72,2518.04,2531.32,2498.00,70.23M,0.27%
Feb 29 2012,2512.11,2525.72,2548.61,2507.99,83.56M,-0.30%
Mar 01 2012,2548.66,2509.15,2549.93,2497.86,83.07M,1.45%
Mar 02 2012,2546.16,2549.29,2556.96,2538.93,63.49M,-0.10%
Mar 05 2012,2529.86,2539.21,2540.03,2512.38,53.27M,-0.64%
Mar 06 2012,2443.52,2523.18,2523.18,2443.52,84.28M,-3.41%
Mar 07 2012,2460.77,2443.50,2464.39,2437.60,75.89M,0.71%
Mar 08 2012,2514.22,2469.04,2514.22,2469.04,100.74M,2.17%
Mar 09 2012,2515.95,2516.67,2530.47,2503.24,73.70M,0.07%
Mar 12 2012,2514.97,2511.42,2524.68,2502.75,64.72M,-0.04%
Mar 13 2012,2556.82,2524.15,2560.18,2524.15,63.40M,1.66%
Mar 14 2012,2574.79,2563.62,2593.89,2563.62,88.35M,0.70%
Mar 15 2012,2593.97,2573.72,2594.13,2569.55,86.66M,0.74%
Mar 16 2012,2608.30,2595.25,2611.42,2595.25,131.04M,0.55%
Mar 19 2012,2608.42,2604.61,2608.44,2588.93,59.45M,0.00%
Mar 20 2012,2576.61,2603.62,2603.62,2570.55,63.97M,-1.22%
Mar 21 2012,2567.58,2583.49,2596.58,2549.29,71.10M,-0.35%
Mar 22 2012,2530.22,2563.55,2563.55,2516.44,75.50M,-1.46%
Mar 23 2012,2525.43,2530.68,2542.15,2494.15,72.07M,-0.19%
Mar 26 2012,2539.87,2530.99,2548.40,2512.90,61.67M,0.57%
Mar 27 2012,2525.21,2545.37,2563.46,2525.21,75.93M,-0.58%
Mar 28 2012,2496.68,2520.50,2537.50,2496.68,67.98M,-1.13%
Mar 29 2012,2452.74,2494.70,2498.71,2445.46,89.88M,-1.76%
Mar 30 2012,2477.28,2465.08,2480.95,2455.58,83.88M,1.00%
Apr 02 2012,2501.18,2481.02,2501.18,2453.35,77.70M,0.96%
Apr 03 2012,2458.98,2500.51,2509.93,2458.98,73.66M,-1.69%
Apr 04 2012,2398.46,2452.84,2452.84,2395.84,110.18M,-2.46%
Apr 05 2012,2392.54,2405.43,2409.78,2362.95,89.03M,-0.25%
Apr 10 2012,2321.53,2378.09,2378.09,2321.53,93.67M,-2.97%
Apr 11 2012,2341.36,2320.36,2359.02,2314.49,110.10M,0.85%
Apr 12 2012,2352.24,2344.32,2358.07,2315.75,105.22M,0.46%
Apr 13 2012,2291.51,2349.21,2349.48,2282.23,101.04M,-2.58%
Apr 16 2012,2301.19,2287.25,2329.15,2280.07,82.76M,0.42%
Apr 17 2012,2367.05,2299.87,2367.05,2297.31,91.14M,2.86%
Apr 18 2012,2327.84,2364.50,2366.72,2320.26,94.50M,-1.66%
Apr 19 2012,2284.67,2332.54,2353.37,2284.67,113.76M,-1.85%
Apr 20 2012,2311.27,2283.86,2317.14,2271.39,112.97M,1.16%
Apr 23 2012,2244.83,2299.16,2299.16,2238.45,100.50M,-2.87%
Apr 24 2012,2284.08,2251.45,2288.24,2244.43,88.18M,1.75%
Apr 25 2012,2322.91,2289.79,2339.63,2289.79,92.83M,1.70%
Apr 26 2012,2322.69,2329.06,2341.24,2294.00,87.83M,-0.01%
Apr 27 2012,2344.02,2303.07,2354.82,2280.49,86.53M,0.92%
Apr 30 2012,2306.43,2345.90,2350.95,2305.42,59.11M,-1.60%
May 01 2012,2306.69,2306.48,2306.69,2306.31,-,0.01%
May 02 2012,2290.31,2323.74,2344.95,2276.67,97.42M,-0.71%
May 03 2012,2287.10,2295.71,2327.08,2275.40,91.00M,-0.14%
May 04 2012,2248.34,2280.88,2295.74,2241.66,85.33M,-1.69%
May 07 2012,2283.09,2227.20,2287.25,2204.73,71.42M,1.55%
May 08 2012,2236.11,2273.79,2284.42,2226.97,89.99M,-2.06%
May 09 2012,2225.63,2240.44,2248.37,2194.50,105.94M,-0.47%
May 10 2012,2247.38,2227.48,2258.51,2206.41,121.96M,0.98%
May 11 2012,2254.54,2238.46,2257.05,2208.85,97.59M,0.32%
May 14 2012,2201.95,2234.35,2234.35,2187.15,95.62M,-2.33%
May 15 2012,2178.67,2209.67,2227.17,2166.81,113.89M,-1.06%
May 16 2012,2175.34,2169.12,2201.09,2142.78,108.15M,-0.15%
May 17 2012,2146.91,2177.89,2182.42,2134.57,89.73M,-1.31%
May 18 2012,2144.69,2136.39,2168.62,2112.77,118.15M,-0.10%
May 21 2012,2150.16,2141.17,2160.69,2125.45,73.43M,0.26%
May 22 2012,2192.85,2160.28,2198.99,2155.19,91.44M,1.99%
May 23 2012,2134.05,2174.03,2174.03,2125.93,93.96M,-2.68%
May 24 2012,2156.52,2143.02,2168.28,2118.02,89.70M,1.05%
May 25 2012,2161.87,2159.91,2181.02,2138.33,76.68M,0.25%
May 28 2012,2147.92,2173.92,2190.22,2142.96,64.59M,-0.65%
May 29 2012,2160.31,2156.87,2173.62,2138.26,81.18M,0.58%
May 30 2012,2116.18,2147.30,2164.30,2108.61,75.00M,-2.04%
May 31 2012,2118.94,2120.86,2136.19,2097.76,59.19M,0.13%
Jun 01 2012,2068.66,2120.90,2120.90,2050.16,111.64M,-2.37%
Jun 04 2012,2078.96,2059.28,2096.68,2051.26,71.66M,0.50%
Jun 05 2012,2087.31,2085.87,2097.68,2069.02,73.06M,0.40%
Jun 06 2012,2137.73,2095.63,2141.47,2095.63,112.20M,2.42%
Jun 07 2012,2143.08,2143.84,2171.50,2139.78,106.29M,0.25%
Jun 08 2012,2143.90,2130.18,2152.00,2110.00,107.25M,0.04%
Jun 11 2012,2137.70,2163.27,2202.63,2135.34,142.22M,-0.29%
Jun 12 2012,2143.38,2137.68,2159.67,2119.19,114.89M,0.27%
Jun 13 2012,2143.50,2146.98,2163.20,2129.58,80.57M,0.01%
Jun 14 2012,2148.21,2138.51,2150.97,2120.44,91.21M,0.22%
Jun 15 2012,2181.23,2156.65,2189.49,2156.65,201.37M,1.54%
Jun 18 2012,2155.64,2198.37,2209.58,2147.69,97.96M,-1.17%
Jun 19 2012,2198.01,2160.54,2201.20,2143.81,83.44M,1.97%
Jun 20 2012,2207.49,2200.49,2212.62,2188.75,75.92M,0.43%
Jun 21 2012,2199.42,2201.10,2231.55,2186.17,101.91M,-0.37%
Jun 22 2012,2186.81,2189.13,2207.62,2174.02,97.56M,-0.57%
Jun 25 2012,2130.71,2178.33,2178.33,2124.98,82.01M,-2.57%
Jun 26 2012,2127.95,2132.56,2145.19,2121.09,77.42M,-0.13%
Jun 27 2012,2165.61,2133.91,2165.61,2130.76,67.03M,1.77%
Jun 28 2012,2157.62,2167.89,2172.06,2134.64,75.66M,-0.37%
Jun 29 2012,2264.72,2184.95,2264.72,2184.95,139.58M,4.96%
Jul 02 2012,2292.08,2266.41,2305.31,2260.38,96.59M,1.21%
Jul 03 2012,2320.43,2295.49,2320.43,2295.49,75.66M,1.24%
Jul 04 2012,2312.41,2315.50,2317.07,2297.86,56.16M,-0.35%
