Date,Price,Open,High,Low,Vol.,Change %
Jan 04 2011,6013.87,5990.00,6049.50,5979.80,-,1.93%
Jan 05 2011,6043.86,6011.50,6043.86,5962.00,-,0.50%
Jan 06 2011,6019.51,6036.70,6089.30,6002.80,-,-0.40%
Jan 07 2011,5984.33,6009.50,6021.30,5970.00,-,-0.58%
Jan 10 2011,5956.30,5978.50,5980.80,5938.50,-,-0.47%
Jan 11 2011,6014.03,5986.10,6036.80,5978.80,-,0.97%
Jan 12 2011,6050.72,6024.30,6050.72,6019.80,-,0.61%
Jan 13 2011,6023.88,6047.80,6056.50,6004.00,-,-0.44%
Jan 14 2011,5988.12,6014.80,6031.80,5947.50,-,-0.59%
Jan 17 2011,5985.70,6013.60,6018.30,5974.30,-,-0.04%
Jan 18 2011,6056.43,6002.50,6066.80,6002.50,-,1.18%
Jan 19 2011,5976.70,6076.20,6077.30,5972.30,-,-1.32%
Jan 20 2011,5867.91,5961.30,5966.00,5863.80,-,-1.82%
Jan 21 2011,5896.25,5879.80,5939.50,5871.50,-,0.48%
Jan 24 2011,5943.85,5901.60,5960.50,5886.50,-,0.81%
Jan 25 2011,5917.71,5962.40,5964.40,5903.30,-,-0.44%
Jan 26 2011,5977.63,5946.80,6002.50,5944.80,-,1.01%
Jan 27 2011,5965.08,5969.80,5997.80,5947.80,-,-0.21%
Jan 28 2011,5881.37,5950.50,5950.90,5875.50,-,-1.40%
Jan 31 2011,5862.94,5855.00,5881.50,5814.30,-,-0.31%
Feb 01 2011,5957.82,5901.20,5964.50,5872.00,-,1.62%
Feb 02 2011,5996.56,5978.30,6020.00,5968.50,-,0.65%
Feb 03 2011,5983.34,5989.70,5996.30,5950.50,-,-0.22%
Feb 04 2011,5997.38,6000.50,6024.50,5985.30,-,0.23%
Feb 07 2011,6044.16,6011.10,6054.80,5996.30,-,0.78%
Feb 08 2011,6091.33,6044.30,6091.33,6031.80,-,0.78%
Feb 09 2011,6052.29,6075.30,6079.50,6047.80,-,-0.64%
Feb 10 2011,6020.01,6039.00,6044.30,5984.00,-,-0.53%
Feb 11 2011,6062.90,6000.40,6069.80,5970.80,-,0.71%
Feb 14 2011,6063.56,6077.00,6091.30,6040.80,-,0.01%
Feb 15 2011,6037.08,6051.80,6072.30,6021.30,-,-0.44%
Feb 16 2011,6085.27,6048.50,6094.30,6042.30,-,0.80%
Feb 17 2011,6087.38,6088.30,6099.00,6066.30,-,0.03%
Feb 18 2011,6082.99,6091.00,6096.00,6046.80,-,-0.07%
Feb 21 2011,6014.80,6070.80,6106.50,6010.80,-,-1.12%
Feb 22 2011,5996.76,5983.00,6027.80,5922.80,-,-0.30%
Feb 23 2011,5923.53,5969.70,5982.30,5913.50,-,-1.22%
Feb 24 2011,5919.98,5864.60,5937.00,5856.50,-,-0.06%
Feb 25 2011,6001.20,5942.20,6011.30,5909.30,-,1.37%
Feb 28 2011,5994.01,6001.90,6023.00,5961.00,-,-0.12%
Mar 01 2011,5953.87,6032.30,6041.50,5925.50,-,-0.67%
Mar 02 2011,5914.89,5881.60,5940.80,5863.30,-,-0.65%
Mar 03 2011,6005.09,5948.50,6017.50,5918.00,-,1.52%
Mar 04 2011,5990.39,6021.70,6052.30,5982.50,-,-0.24%
Mar 07 2011,5973.78,5975.80,6044.50,5964.80,-,-0.28%
Mar 08 2011,5961.82,5987.00,6000.50,5909.80,-,-0.20%
Mar 09 2011,5937.30,5975.80,5975.80,5920.80,-,-0.41%
Mar 10 2011,5845.29,5883.90,5906.80,5830.30,-,-1.55%
Mar 11 2011,5828.67,5802.80,5841.50,5795.30,-,-0.28%
Mar 14 2011,5775.24,5813.30,5843.00,5768.30,-,-0.92%
Mar 15 2011,5695.28,5672.30,5713.30,5591.00,-,-1.38%
Mar 16 2011,5598.23,5719.80,5719.80,5598.23,-,-1.70%
Mar 17 2011,5693.80,5634.80,5708.00,5610.80,-,1.71%
Mar 18 2011,5720.80,5706.90,5757.50,5699.30,-,0.47%
