Date,Price,Open,High,Low,Vol.,Change %
Aug 16 2011,19944.39,20021.19,20021.85,19592.40,-,0.13%
Aug 17 2011,20045.87,19819.73,20188.48,19705.34,-,0.51%
Aug 18 2011,19133.16,19803.99,19911.43,18932.80,-,-4.55%
Aug 19 2011,19105.76,19045.95,19211.45,18592.04,-,-0.14%
Aug 22 2011,19305.27,19038.34,19497.65,19028.22,-,1.04%
Aug 23 2011,19148.58,19303.30,19528.40,19092.76,-,-0.81%
Aug 24 2011,19381.17,19252.38,19528.15,19169.40,-,1.21%
Aug 25 2011,19565.08,19498.62,19866.35,19498.62,-,0.95%
Aug 26 2011,19512.94,19599.30,19639.49,19246.76,-,-0.27%
Aug 29 2011,19973.63,19745.22,19973.63,19650.20,-,2.36%
Aug 30 2011,20013.89,20053.80,20079.39,19833.77,-,0.20%
Aug 31 2011,20469.79,20117.82,20469.79,20023.94,-,2.28%
Sep 01 2011,20486.63,20472.26,20520.37,20306.25,-,0.08%
Sep 02 2011,19962.04,20329.21,20336.69,19896.80,-,-2.56%
Sep 05 2011,19016.70,19706.08,19786.08,18855.81,-,-4.74%
Sep 06 2011,18835.79,18999.60,19160.73,18595.02,-,-0.95%
Sep 07 2011,19412.16,19126.26,19412.16,19126.26,-,3.06%
Sep 08 2011,19351.90,19449.88,19595.07,19162.23,-,-0.31%
Sep 09 2011,18831.06,19329.20,19368.53,18831.06,-,-2.69%
Sep 12 2011,18380.92,18616.97,18616.97,18184.14,-,-2.39%
Sep 13 2011,18509.20,18634.22,18687.56,18162.71,-,0.70%
Sep 14 2011,18800.21,18411.66,18800.21,18373.52,-,1.57%
Sep 15 2011,19255.75,18862.38,19394.66,18856.76,-,2.42%
Sep 16 2011,19705.61,19380.93,19705.61,19310.35,-,2.34%
Sep 19 2011,19409.60,19370.69,19548.65,19277.47,-,-1.50%
Sep 20 2011,19419.50,19155.74,19481.42,19155.74,-,0.05%
Sep 21 2011,19389.54,19411.64,19587.60,19341.53,-,-0.15%
Sep 22 2011,18509.95,19029.42,19091.34,18509.95,-,-4.54%
Sep 23 2011,18479.23,18681.56,18728.27,18017.26,-,-0.17%
Sep 26 2011,18756.80,18330.81,18973.83,18324.16,-,1.50%
Sep 27 2011,19409.18,19048.35,19435.28,19022.27,-,3.48%
Sep 28 2011,19588.43,19313.32,19630.14,19269.65,-,0.92%
Sep 29 2011,19585.97,19447.21,19732.03,19443.03,-,-0.01%
Sep 30 2011,19160.02,19534.24,19543.48,19005.37,-,-2.17%
Oct 03 2011,18865.32,18810.93,19000.47,18671.59,-,-1.54%
Oct 04 2011,18434.40,18684.37,18753.37,18237.72,-,-2.28%
Oct 05 2011,19000.98,18655.50,19000.98,18504.86,-,3.07%
Oct 06 2011,19553.42,19073.92,19553.42,19057.83,-,2.91%
Oct 07 2011,19432.01,19557.49,19617.67,19313.01,-,-0.62%
Oct 10 2011,19822.55,19499.86,19823.86,19446.29,-,2.01%
Oct 11 2011,19703.30,19824.78,19919.39,19622.35,-,-0.60%
Oct 12 2011,20033.96,19723.93,20067.19,19562.49,-,1.68%
Oct 13 2011,19732.78,20025.99,20182.84,19703.76,-,-1.50%
Oct 14 2011,19966.65,19807.71,20033.22,19673.62,-,1.19%
Oct 17 2011,19715.75,20087.65,20271.84,19593.78,-,-1.26%
Oct 18 2011,19807.68,19603.94,19807.68,19499.68,-,0.47%
Oct 19 2011,19920.65,19892.77,19957.05,19802.19,-,0.57%
Oct 20 2011,19556.36,19723.00,19890.95,19547.23,-,-1.83%
Oct 21 2011,19750.06,19638.16,19769.66,19561.21,-,0.99%
Oct 24 2011,19822.05,19884.15,19947.84,19532.59,-,0.36%
Oct 25 2011,19710.89,19808.50,19911.32,19580.71,-,-0.56%
Oct 26 2011,19625.35,19734.59,19851.90,19545.75,-,-0.43%
Oct 27 2011,20155.83,20048.33,20167.13,19919.95,-,2.70%
Oct 28 2011,19997.19,20208.26,20240.02,19904.70,-,-0.79%
Oct 31 2011,19592.20,19895.83,19938.32,19592.20,-,-2.03%
Nov 01 2011,18722.51,19328.21,19328.21,18613.79,-,-4.44%
Nov 02 2011,18904.19,18833.39,19030.33,18638.89,-,0.97%
Nov 03 2011,19432.44,18661.43,19436.33,18637.54,-,2.79%
Nov 04 2011,19127.21,19493.46,19572.50,19070.44,-,-1.57%
Nov 07 2011,19045.23,19057.44,19234.01,18884.65,-,-0.43%
Nov 08 2011,19026.48,19084.50,19214.39,19021.56,-,-0.10%
Nov 09 2011,18347.33,19150.06,19196.70,18272.01,-,-3.57%
Nov 10 2011,18362.74,18228.57,18641.16,18222.50,-,0.08%
Nov 11 2011,18916.13,18439.52,18943.66,18437.60,-,3.01%
Nov 14 2011,18714.56,19116.52,19208.62,18659.66,-,-1.07%
Nov 15 2011,18465.64,18619.04,18705.36,18338.63,-,-1.33%
Nov 16 2011,18572.32,18469.40,18701.29,18417.72,-,0.58%
Nov 17 2011,18373.45,18521.48,18607.62,18271.02,-,-1.07%
Nov 18 2011,18413.21,18351.72,18509.58,18278.40,-,0.22%
Nov 21 2011,17709.87,18313.68,18329.75,17709.87,-,-3.82%
Nov 22 2011,17556.43,17826.61,17843.18,17539.96,-,-0.87%
Nov 23 2011,17200.51,17418.77,17586.03,17153.14,-,-2.03%
Nov 24 2011,17207.51,17193.60,17359.42,17019.90,-,0.04%
Nov 25 2011,17023.87,17163.57,17239.05,16807.80,-,-1.07%
Nov 28 2011,17613.54,17103.78,17613.54,17103.78,-,3.46%
Nov 29 2011,17575.72,17572.77,17680.70,17380.01,-,-0.21%
Nov 30 2011,18433.91,17479.20,18433.91,17452.12,-,4.88%
Dec 01 2011,18331.13,18386.33,18471.02,18283.35,-,-0.56%
Dec 02 2011,18633.62,18465.61,18697.63,18450.24,-,1.65%
Dec 05 2011,19133.03,18778.17,19133.03,18778.17,-,2.68%
Dec 06 2011,18974.25,18990.27,19117.18,18842.64,-,-0.83%
Dec 07 2011,18745.40,19113.09,19197.14,18537.69,-,-1.21%
Dec 08 2011,18264.67,18805.52,18861.37,18242.37,-,-2.56%
Dec 09 2011,18522.85,18157.02,18532.16,18147.43,-,1.41%
Dec 12 2011,17999.81,18441.14,18464.19,17999.81,-,-2.82%
Dec 13 2011,17910.50,18038.10,18118.07,17849.43,-,-0.50%
Dec 14 2011,17509.51,17844.57,18002.48,17493.73,-,-2.24%
Dec 15 2011,17471.05,17565.50,17654.69,17382.08,-,-0.22%
Dec 16 2011,17389.41,17529.53,17567.93,17381.58,-,-0.47%
Dec 19 2011,17288.72,17282.82,17539.43,17234.18,-,-0.58%
Dec 20 2011,17705.00,17302.55,17705.00,17302.55,-,2.41%
Dec 21 2011,17467.27,17786.02,17882.93,17450.58,-,-1.34%
Dec 22 2011,17712.94,17574.51,17712.94,17569.20,-,1.41%
Dec 23 2011,17820.34,17774.07,17820.34,17709.26,-,0.61%
Dec 27 2011,17682.18,17874.44,17881.39,17640.53,-,-0.78%
Dec 28 2011,17662.83,17665.52,17798.45,17606.69,-,-0.11%
Dec 29 2011,17616.97,17655.41,17661.81,17526.56,-,-0.26%
Dec 30 2011,17708.11,17667.26,17735.60,17627.53,-,0.52%
Jan 02 2012,18142.25,17742.36,18142.25,17736.02,-,2.45%
Jan 03 2012,18282.83,18150.77,18282.83,18074.76,-,0.77%
Jan 04 2012,18204.58,18268.38,18318.92,18130.46,-,-0.43%
Jan 05 2012,17816.56,18225.93,18248.46,17760.81,-,-2.13%
Jan 06 2012,17756.72,17886.41,17956.61,17691.20,-,-0.34%
Jan 09 2012,17365.06,17812.68,17824.39,17363.42,-,-2.21%
Jan 10 2012,17418.13,17484.19,17553.22,17385.85,45.48M,0.31%
Jan 11 2012,17450.39,17426.80,17496.79,17324.55,35.69M,0.19%
Jan 12 2012,17678.18,17463.59,17787.68,17443.76,62.04M,1.31%
Jan 13 2012,17716.83,17737.65,17863.77,17505.07,80.62M,0.22%
Jan 16 2012,17759.58,17558.52,17769.43,17457.58,40.94M,0.24%
Jan 17 2012,17831.75,17846.56,17945.83,17761.50,44.02M,0.41%
Jan 18 2012,17752.23,17872.08,17872.08,17676.38,43.19M,-0.45%
Jan 19 2012,18099.03,17845.89,18099.03,17790.63,66.52M,1.95%
Jan 20 2012,18244.36,18116.88,18266.97,17991.27,63.46M,0.80%
Jan 23 2012,18594.71,18299.47,18594.71,18263.87,64.73M,1.92%
Jan 24 2012,18602.93,18548.46,18610.68,18390.89,63.75M,0.04%
Jan 25 2012,18698.47,18661.34,18777.44,18482.60,54.94M,0.51%
Jan 26 2012,18960.87,18769.53,19027.69,18711.10,74.48M,1.40%
Jan 27 2012,18834.46,18906.29,18911.38,18731.19,55.23M,-0.67%
Jan 30 2012,18581.42,18788.83,18813.38,18490.50,55.27M,-1.34%
Jan 31 2012,18799.72,18701.85,18895.03,18647.91,57.47M,1.17%
Feb 01 2012,19304.29,18861.01,19304.29,18861.01,75.48M,2.68%
Feb 02 2012,19564.24,19381.10,19638.41,19330.87,112.54M,1.35%
Feb 03 2012,19794.52,19594.19,19883.19,19566.52,151.00M,1.18%
Feb 06 2012,20142.20,19786.36,20147.66,19715.27,133.98M,1.76%
Feb 07 2012,19996.42,20297.14,20379.98,19813.22,144.64M,-0.72%
Feb 08 2012,20132.84,20127.00,20309.67,20123.65,143.12M,0.68%
Feb 09 2012,20251.64,20251.43,20334.78,20150.04,94.80M,0.59%
Feb 10 2012,20091.94,20254.71,20299.37,20002.35,104.85M,-0.79%
Feb 13 2012,20120.65,20242.60,20337.39,20120.65,100.10M,0.14%
Feb 14 2012,20000.53,20169.74,20210.71,19975.56,83.82M,-0.60%
Feb 15 2012,20041.67,20182.67,20210.18,19995.77,105.41M,0.21%
Feb 16 2012,19862.67,19914.77,19945.82,19749.06,83.66M,-0.89%
Feb 17 2012,19949.97,20023.09,20052.69,19930.05,71.14M,0.44%
Feb 20 2012,20201.51,20070.14,20212.07,20063.32,125.05M,1.26%
Feb 21 2012,20321.81,20283.19,20369.00,20092.56,147.21M,0.60%
Feb 22 2012,20248.59,20359.35,20402.90,20239.75,113.05M,-0.36%
Feb 23 2012,19799.01,20263.07,20283.54,19799.01,108.54M,-2.22%
Feb 24 2012,19855.11,19915.20,19958.93,19830.91,63.30M,0.28%
Feb 27 2012,19663.60,19914.05,19926.98,19547.80,75.93M,-0.96%
Feb 28 2012,19567.27,19718.66,19871.84,19514.54,76.59M,-0.49%
Feb 29 2012,19586.88,19612.81,19753.03,19543.48,78.93M,0.10%
Mar 01 2012,19989.38,19576.02,19989.38,19536.99,129.12M,2.05%
Mar 02 2012,19959.96,19983.74,20094.08,19907.57,107.51M,-0.15%
Mar 05 2012,19779.72,19929.63,19970.66,19761.23,76.85M,-0.90%
