Date,Price,Open,High,Low,Vol.,Change %
Jan 03 2011,20436.28,20138.00,20559.00,20103.00,-,1.30%
Jan 04 2011,20547.03,20473.00,20681.00,20338.00,-,0.54%
Jan 05 2011,20551.58,20486.00,20561.00,20226.00,-,0.02%
Jan 06 2011,20637.39,20608.00,20898.00,20576.00,-,0.42%
Jan 07 2011,20542.06,20651.00,20741.00,20361.00,-,-0.46%
Jan 10 2011,20058.18,20396.00,20428.00,20058.18,-,-2.36%
Jan 11 2011,20339.05,20147.00,20373.00,20005.00,-,1.40%
Jan 12 2011,21116.39,20420.00,21124.00,20420.00,-,3.82%
Jan 13 2011,21308.13,21301.00,21343.00,21078.00,-,0.91%
Jan 14 2011,21460.09,21333.00,21505.00,21223.00,-,0.71%
Jan 17 2011,21344.14,21498.00,21530.00,21278.00,-,-0.54%
Jan 18 2011,21590.86,21463.00,21623.00,21443.00,-,1.16%
Jan 19 2011,21712.14,21640.00,21858.00,21568.00,-,0.56%
Jan 20 2011,21792.28,21693.00,21973.00,21658.00,-,0.37%
Jan 21 2011,22093.85,21940.00,22318.00,21883.00,-,1.38%
Jan 24 2011,22156.85,22233.00,22243.00,21955.00,-,0.29%
Jan 25 2011,21940.13,22248.00,22258.00,21863.00,-,-0.98%
Jan 26 2011,22007.00,22068.00,22173.00,21940.00,-,0.30%
Jan 27 2011,22311.52,21902.00,22405.00,21860.00,-,1.38%
Jan 28 2011,22025.11,22270.00,22462.00,22002.00,-,-1.28%
Jan 31 2011,22050.45,21872.00,22214.00,21715.00,-,0.12%
Feb 01 2011,22525.59,22119.00,22525.59,21996.00,-,2.15%
Feb 02 2011,22625.42,22548.00,22713.00,22513.00,-,0.44%
Feb 03 2011,22443.86,22598.00,22758.00,22318.00,-,-0.80%
Feb 04 2011,22618.05,22590.00,22717.00,22543.00,-,0.78%
Feb 07 2011,22793.01,22752.00,22962.00,22672.00,-,0.77%
Feb 08 2011,22734.17,22717.00,22810.00,22574.00,-,-0.26%
Feb 09 2011,22683.46,22715.00,22831.00,22581.00,-,-0.22%
Feb 10 2011,22596.79,22578.00,22646.00,22298.00,-,-0.38%
Feb 11 2011,22695.19,22473.00,22793.00,22353.00,-,0.44%
Feb 14 2011,22675.14,22858.00,22865.00,22575.00,-,-0.09%
Feb 15 2011,22823.82,22628.00,22935.00,22628.00,-,0.66%
Feb 16 2011,23153.72,22920.00,23173.00,22883.00,-,1.45%
Feb 17 2011,23178.38,23123.00,23220.00,23028.00,-,0.11%
Feb 18 2011,23059.03,23218.00,23243.00,22858.00,-,-0.51%
Feb 21 2011,22230.20,22876.00,22911.00,22203.00,-,-3.59%
Feb 23 2011,21915.38,21954.00,22134.00,21866.00,-,-1.42%
Feb 24 2011,21929.94,21786.00,22049.00,21726.00,-,0.07%
Feb 25 2011,22349.71,21984.00,22414.00,21971.00,-,1.91%
Feb 28 2011,22466.57,22304.00,22659.00,22146.00,-,0.52%
Mar 01 2011,22225.69,22586.00,22719.00,22119.00,-,-1.07%
Mar 02 2011,22238.75,22064.00,22398.00,21874.00,-,0.06%
Mar 03 2011,22154.23,22358.00,22486.00,22056.00,-,-0.38%
Mar 04 2011,22138.44,22256.00,22456.00,22112.00,-,-0.07%
Mar 07 2011,22145.79,22089.00,22452.00,21982.00,-,0.03%
Mar 08 2011,22303.69,22252.00,22374.00,22117.00,-,0.71%
