Date,Price,Open,High,Low,Vol.,Change %
Jan 03 2011,23436.05,23121.00,23467.00,23067.00,-,1.74%
Jan 04 2011,23668.48,23437.00,23680.00,23403.00,-,0.99%
Jan 05 2011,23757.82,23611.00,23793.00,23583.00,-,0.38%
Jan 06 2011,23786.30,23793.00,23841.00,23720.00,-,0.12%
Jan 07 2011,23686.63,23759.00,23913.00,23659.00,-,-0.42%
Jan 10 2011,23527.26,23750.00,23797.00,23473.00,-,-0.67%
Jan 11 2011,23760.34,23625.00,23874.00,23506.00,-,0.99%
Jan 12 2011,24125.61,23845.00,24167.00,23844.00,-,1.54%
Jan 13 2011,24238.98,24286.00,24362.00,24222.00,-,0.47%
Jan 14 2011,24283.23,24220.00,24329.00,24185.00,-,0.18%
Jan 17 2011,24156.97,24360.00,24380.00,24093.00,-,-0.52%
Jan 18 2011,24153.98,24198.00,24411.00,24087.00,-,-0.01%
Jan 19 2011,24419.62,24347.00,24436.00,24242.00,-,1.10%
Jan 20 2011,24003.70,24144.00,24204.00,23942.00,-,-1.70%
Jan 21 2011,23876.86,23992.00,24131.00,23815.00,-,-0.53%
Jan 24 2011,23801.78,23893.00,23917.00,23741.00,-,-0.31%
Jan 25 2011,23788.83,23946.00,23996.00,23764.00,-,-0.05%
Jan 26 2011,23843.24,23853.00,23987.00,23637.00,-,0.23%
Jan 27 2011,23779.62,23724.00,24021.00,23703.00,-,-0.27%
Jan 28 2011,23617.02,23737.00,23750.00,23540.00,-,-0.68%
Jan 31 2011,23447.34,23315.00,23532.00,23295.00,-,-0.72%
Feb 01 2011,23482.95,23424.00,23529.00,23402.00,-,0.15%
Feb 02 2011,23908.96,23689.00,23962.00,23676.00,-,1.81%
Feb 07 2011,23553.59,23966.00,23976.00,23493.00,-,-1.49%
Feb 08 2011,23484.30,23545.00,23638.00,23384.00,-,-0.29%
Feb 09 2011,23164.03,23526.00,23579.00,23104.00,-,-1.36%
Feb 10 2011,22708.62,23013.00,23065.00,22646.00,-,-1.97%
