Date,Price,Open,High,Low,Vol.,Change %
Jan 11 2011,1713.97,1688.00,1714.19,1687.36,-,1.54%
Jan 12 2011,1759.46,1714.04,1760.09,1714.04,-,2.65%
Jan 13 2011,1749.75,1759.46,1768.21,1743.72,-,-0.55%
Jan 14 2011,1744.74,1749.75,1757.56,1731.86,-,-0.29%
Jan 17 2011,1771.66,1745.15,1773.98,1745.15,-,1.54%
Jan 18 2011,1765.30,1771.69,1788.74,1754.86,-,-0.36%
Jan 19 2011,1764.44,1765.30,1778.27,1760.23,-,-0.05%
Jan 20 2011,1733.89,1764.31,1764.31,1732.89,-,-1.73%
Jan 21 2011,1747.39,1733.89,1752.39,1723.85,-,0.78%
Jan 24 2011,1720.70,1747.39,1750.44,1705.18,-,-1.53%
Jan 25 2011,1716.24,1720.70,1730.90,1709.68,-,-0.26%
Jan 26 2011,1746.55,1716.24,1746.63,1716.24,-,1.77%
Jan 27 2011,1751.54,1746.55,1758.13,1738.26,-,0.29%
Jan 28 2011,1735.01,1751.47,1751.47,1730.69,-,-0.94%
Jan 31 2011,1723.42,1734.93,1734.93,1705.46,-,-0.67%
Feb 01 2011,1755.95,1723.45,1757.48,1723.45,-,1.89%
Feb 02 2011,1765.42,1755.95,1779.01,1755.95,-,0.54%
Feb 03 2011,1749.78,1765.43,1775.45,1746.78,-,-0.89%
Feb 04 2011,1766.53,1749.78,1770.05,1749.78,-,0.96%
Feb 07 2011,1767.31,1766.53,1773.00,1745.29,-,0.04%
Feb 08 2011,1729.53,1767.31,1770.11,1729.11,-,-2.14%
Feb 09 2011,1723.32,1729.53,1738.22,1713.43,-,-0.36%
Feb 10 2011,1676.77,1723.32,1723.32,1676.02,-,-2.70%
Feb 11 2011,1713.93,1676.77,1715.40,1674.06,-,2.22%
Feb 14 2011,1708.43,1714.09,1732.41,1703.72,-,-0.32%
Feb 15 2011,1695.98,1708.45,1720.78,1693.17,-,-0.73%
Feb 16 2011,1707.14,1695.98,1709.26,1688.40,-,0.66%
Feb 17 2011,1692.91,1707.14,1722.14,1692.37,-,-0.83%
Feb 18 2011,1690.11,1692.95,1700.58,1680.91,-,-0.17%
Feb 21 2011,1712.63,1690.09,1717.00,1683.79,-,1.33%
Feb 22 2011,1700.98,1712.63,1712.63,1682.47,-,-0.68%
Feb 24 2011,1715.20,1700.98,1721.97,1687.66,-,0.84%
Feb 25 2011,1747.72,1715.20,1748.61,1713.91,-,1.90%
Feb 28 2011,1777.84,1747.72,1780.36,1743.16,-,1.72%
Mar 01 2011,1758.44,1777.84,1788.53,1758.44,-,-1.09%
Mar 02 2011,1765.38,1758.44,1765.84,1746.13,-,0.39%
Mar 03 2011,1772.83,1765.38,1787.67,1765.38,-,0.42%
Mar 04 2011,1764.96,1772.83,1783.81,1758.68,-,-0.44%
Mar 05 2011,1780.62,1764.96,1781.26,1763.30,-,0.89%
Mar 09 2011,1779.24,1780.63,1793.03,1769.83,-,-0.08%
Mar 10 2011,1731.80,1779.14,1779.14,1730.45,-,-2.67%
Mar 11 2011,1719.95,1731.80,1739.33,1712.36,-,-0.68%
Mar 14 2011,1726.78,1719.95,1747.14,1706.90,-,0.40%
Mar 15 2011,1700.54,1726.78,1726.78,1681.08,-,-1.52%
Mar 16 2011,1705.18,1700.69,1732.72,1698.32,-,0.27%
Mar 17 2011,1737.62,1705.20,1739.87,1703.20,-,1.90%
Mar 18 2011,1747.32,1737.66,1753.38,1732.82,-,0.56%
Mar 21 2011,1753.19,1747.32,1760.99,1742.24,-,0.34%
Mar 22 2011,1741.34,1753.18,1753.18,1730.35,-,-0.68%
Mar 23 2011,1770.56,1741.25,1770.66,1732.61,-,1.68%
Mar 24 2011,1795.40,1770.58,1795.60,1770.58,-,1.40%
Mar 25 2011,1807.46,1795.40,1808.61,1788.19,-,0.67%
Mar 28 2011,1810.90,1807.53,1813.20,1799.84,-,0.19%
Mar 29 2011,1788.14,1810.74,1813.79,1781.20,-,-1.26%
Mar 30 2011,1815.60,1788.17,1817.26,1788.96,-,1.54%
Mar 31 2011,1813.59,1815.60,1820.13,1802.56,-,-0.11%
Apr 01 2011,1843.43,1813.59,1844.74,1806.08,-,1.65%
Apr 04 2011,1852.02,1843.43,1858.77,1841.25,-,0.47%
Apr 05 2011,1848.21,1852.06,1863.33,1835.91,-,-0.21%
Apr 06 2011,1859.99,1848.21,1865.25,1844.89,-,0.64%
Apr 07 2011,1844.33,1859.99,1859.99,1839.37,-,-0.84%
Apr 08 2011,1855.97,1844.33,1860.01,1844.33,-,0.63%
Apr 11 2011,1845.78,1855.97,1864.56,1836.86,-,-0.55%
Apr 12 2011,1799.94,1845.78,1833.48,1792.34,-,-2.48%
Apr 13 2011,1809.83,1799.94,1810.42,1786.71,-,0.55%
Apr 14 2011,1781.51,1809.83,1806.57,1765.29,-,-1.56%
Apr 15 2011,1780.36,1781.50,1792.97,1772.10,-,-0.06%
Apr 18 2011,1714.07,1780.36,1784.40,1707.69,-,-3.72%
Apr 19 2011,1755.63,1714.08,1755.63,1714.08,-,2.42%
Apr 20 2011,1783.38,1755.63,1785.49,1755.63,-,1.58%
Apr 21 2011,1780.60,1783.59,1799.01,1770.92,-,-0.16%
Apr 22 2011,1793.96,1780.60,1797.53,1780.60,-,0.75%
Apr 25 2011,1769.94,1793.96,1814.07,1767.38,-,-1.34%
Apr 26 2011,1766.28,1769.94,1774.52,1746.41,-,-0.21%
Apr 27 2011,1744.95,1766.28,1775.57,1738.68,-,-1.21%
Apr 28 2011,1749.65,1745.87,1766.88,1731.81,-,0.27%
Apr 29 2011,1741.84,1749.01,1749.01,1723.47,-,-0.45%
May 03 2011,1691.45,1741.82,1747.21,1689.65,-,-2.89%
May 04 2011,1657.54,1691.45,1698.23,1650.08,-,-2.00%
May 05 2011,1644.92,1657.55,1673.58,1627.45,-,-0.76%
May 06 2011,1681.01,1644.92,1681.55,1621.90,-,2.19%
May 10 2011,1678.13,1680.91,1687.72,1667.21,-,-0.17%
