Date,Price,Open,High,Low,Vol.,Change %
Mar 19 2013,984.31,992.38,992.97,982.35,-,-0.74%
Mar 20 2013,986.80,988.71,989.92,979.57,-,0.25%
Mar 21 2013,984.98,989.21,989.82,982.52,-,-0.18%
Mar 22 2013,944.84,961.96,961.98,940.94,-,-4.08%
Mar 25 2013,925.35,950.07,953.45,924.24,-,-2.06%
Mar 26 2013,863.33,916.98,919.91,856.67,-,-6.70%
Mar 27 2013,866.32,862.88,869.37,853.59,-,0.35%
Mar 28 2013,868.55,868.96,873.23,858.42,-,0.26%
Apr 01 2013,873.44,879.86,885.43,871.28,-,0.56%
Apr 02 2013,867.69,874.10,876.53,859.88,-,-0.66%
Apr 03 2013,849.11,850.67,857.21,844.29,-,-2.14%
Apr 04 2013,840.14,842.75,849.29,833.10,-,-1.06%
Apr 05 2013,830.29,852.27,855.85,823.33,-,-1.17%
Apr 08 2013,821.37,830.77,834.10,816.91,-,-1.07%
Apr 09 2013,810.64,816.35,820.77,807.99,-,-1.31%
Apr 10 2013,808.29,809.25,812.23,801.39,-,-0.29%
Apr 11 2013,790.20,805.52,806.44,784.33,-,-2.24%
Apr 12 2013,758.47,779.79,781.30,754.50,-,-4.02%
Apr 15 2013,715.71,733.61,734.62,700.40,-,-5.64%
Apr 16 2013,722.88,718.51,726.43,713.34,-,1.00%
Apr 17 2013,712.01,726.87,735.62,708.85,-,-1.50%
Apr 18 2013,723.70,707.92,734.63,703.90,-,1.64%
Apr 19 2013,724.65,736.60,736.66,714.70,-,0.13%
Apr 22 2013,723.12,728.54,731.93,716.99,-,-0.21%
Apr 23 2013,740.03,723.39,740.67,716.34,-,2.34%
Apr 24 2013,764.55,755.85,769.75,755.62,-,3.31%
Apr 25 2013,789.79,779.31,793.82,776.27,-,3.30%
Apr 26 2013,786.68,783.60,791.33,772.63,-,-0.39%
Apr 29 2013,797.25,788.87,799.37,785.99,-,1.34%
Apr 30 2013,808.97,791.62,809.22,788.48,-,1.47%
May 01 2013,798.98,805.26,811.12,798.59,-,-1.23%
May 02 2013,801.38,795.33,810.44,791.37,-,0.30%
May 03 2013,815.79,813.68,817.22,802.32,-,1.80%
May 06 2013,823.09,821.05,825.60,816.57,-,0.89%
May 07 2013,832.12,825.20,834.43,812.46,-,1.10%
May 08 2013,821.95,831.72,831.73,817.30,-,-1.22%
May 09 2013,819.11,821.11,822.18,818.63,-,-0.35%
May 10 2013,799.78,812.08,816.39,794.69,-,-2.36%
May 13 2013,783.73,792.85,796.73,782.44,-,-2.01%
May 14 2013,794.10,792.96,798.59,789.03,-,1.32%
May 15 2013,773.52,779.27,783.38,772.34,-,-2.59%
May 16 2013,766.01,775.09,775.44,763.45,-,-0.97%
May 17 2013,767.23,763.70,771.33,756.98,-,0.16%
May 20 2013,775.23,778.09,782.28,770.26,-,1.04%
May 21 2013,777.29,774.01,782.54,764.69,-,0.27%
May 22 2013,784.55,782.65,787.94,779.82,-,0.93%
May 23 2013,756.42,758.28,763.74,752.18,-,-3.59%
May 24 2013,752.32,762.99,763.84,748.30,-,-0.54%
May 28 2013,766.20,754.33,768.66,753.80,-,1.84%
May 29 2013,750.06,758.77,759.00,748.24,-,-2.11%
May 30 2013,744.99,750.50,756.83,742.87,-,-0.68%
May 31 2013,734.87,749.01,753.06,728.61,-,-1.36%
Jun 03 2013,728.80,720.90,731.90,717.55,-,-0.83%
Jun 04 2013,733.28,740.45,741.63,727.31,-,0.61%
Jun 05 2013,716.00,733.82,733.88,714.16,-,-2.36%
Jun 06 2013,701.28,715.19,715.99,694.53,-,-2.06%
Jun 07 2013,723.40,705.21,723.87,699.88,-,3.15%
Jun 10 2013,723.35,725.85,731.92,720.73,-,-0.01%
Jun 11 2013,708.69,721.63,723.57,701.96,-,-2.03%
Jun 12 2013,714.35,711.28,716.02,709.94,-,0.80%
Jun 13 2013,704.96,693.15,707.81,691.16,-,-1.31%
Jun 14 2013,720.16,713.84,721.81,711.33,-,2.16%
Jun 17 2013,728.90,722.03,737.36,721.57,-,1.21%
Jun 18 2013,730.11,723.97,731.83,718.60,-,0.17%
Jun 19 2013,716.89,724.41,725.01,709.08,-,-1.81%
Jun 20 2013,700.25,697.13,711.32,696.60,-,-2.32%
Jun 21 2013,704.32,705.47,707.47,697.42,-,0.58%
Jun 24 2013,692.78,705.50,705.58,690.73,-,-1.64%
Jun 25 2013,702.00,705.01,712.08,698.66,-,1.33%
Jun 26 2013,703.83,709.27,712.54,700.99,-,0.26%
Jun 27 2013,709.91,708.96,711.81,702.39,-,0.86%
Jun 28 2013,705.96,712.91,713.98,700.88,-,-0.56%
Jul 01 2013,713.81,705.74,715.31,703.35,-,1.11%
Jul 02 2013,713.46,721.95,722.31,707.46,-,-0.05%
Jul 03 2013,708.51,705.08,710.31,698.07,-,-0.69%
Jul 05 2013,722.96,717.78,726.06,714.97,-,2.04%
Jul 08 2013,726.14,717.14,727.33,716.91,-,0.44%
Jul 09 2013,726.60,732.35,734.39,724.24,-,0.06%
Jul 10 2013,721.74,729.82,730.57,720.71,-,-0.67%
Jul 11 2013,735.87,733.96,740.13,731.63,-,1.96%
Jul 12 2013,734.73,736.79,741.97,730.32,-,-0.15%
Jul 15 2013,735.21,739.91,740.86,729.45,-,0.07%
Jul 16 2013,741.34,741.70,744.65,738.21,-,0.83%
Jul 17 2013,748.37,744.44,749.11,735.61,-,0.95%
Jul 18 2013,738.98,746.84,749.66,735.07,-,-1.25%
Jul 19 2013,740.73,740.66,744.99,736.41,-,0.24%
Jul 22 2013,740.80,742.16,746.67,738.51,-,0.01%
Jul 23 2013,740.69,744.14,744.60,737.08,-,-0.01%
Jul 24 2013,736.96,740.80,744.17,731.77,-,-0.50%
Jul 25 2013,723.46,733.09,737.00,720.91,-,-1.83%
Jul 26 2013,723.49,727.27,728.83,720.90,-,0.00%
Jul 29 2013,721.71,718.21,727.53,717.71,-,-0.25%
Jul 30 2013,717.44,720.30,722.16,714.83,-,-0.59%
Jul 31 2013,717.72,717.83,719.64,714.26,-,0.04%
Aug 01 2013,729.36,719.52,731.90,718.32,-,1.62%
Aug 02 2013,737.60,734.89,739.40,728.07,-,1.13%
Aug 05 2013,731.46,740.65,744.53,728.41,-,-0.83%
Aug 06 2013,723.80,725.51,731.98,720.86,-,-1.05%
Aug 07 2013,729.19,726.06,731.87,721.08,-,0.74%
Aug 08 2013,735.51,740.54,741.16,730.17,-,0.87%
Aug 09 2013,731.53,735.81,735.89,725.60,-,-0.54%
Aug 12 2013,726.15,729.77,730.31,720.54,-,-0.74%
Aug 13 2013,736.04,726.89,747.11,724.43,-,1.36%
Aug 14 2013,744.20,744.30,747.04,737.59,-,1.11%
Aug 15 2013,733.60,743.13,748.89,728.31,-,-1.42%
Aug 16 2013,739.15,735.93,742.73,732.53,-,0.76%
Aug 19 2013,744.10,736.90,745.10,729.19,-,0.67%
Aug 20 2013,735.20,736.21,740.31,730.52,-,-1.20%
Aug 21 2013,729.05,744.25,744.25,722.58,-,-0.84%
Aug 22 2013,727.99,718.56,728.38,715.88,-,-0.15%
Aug 23 2013,731.81,727.53,732.41,723.41,-,0.52%
Aug 26 2013,724.17,737.61,737.86,720.22,-,-1.04%
Aug 27 2013,718.92,718.12,724.02,713.23,-,-0.72%
Aug 28 2013,708.38,713.65,715.38,702.87,-,-1.47%
Aug 29 2013,715.36,721.02,722.50,711.56,-,0.99%
Aug 30 2013,705.17,718.84,721.35,699.23,-,-1.42%
Sep 03 2013,699.95,707.48,710.80,697.03,-,-0.74%
Sep 04 2013,699.55,701.59,701.92,692.95,-,-0.06%
Sep 05 2013,716.81,698.92,717.12,697.27,-,2.47%
Sep 06 2013,707.08,716.22,718.60,702.52,-,-1.36%
Sep 09 2013,713.33,708.83,715.73,705.40,-,0.88%
Sep 10 2013,721.20,718.30,721.75,712.62,-,1.10%
Sep 11 2013,724.20,726.14,731.43,723.00,-,0.42%
Sep 12 2013,723.38,729.63,730.89,718.54,-,-0.11%
Sep 13 2013,722.78,720.42,725.59,718.34,-,-0.08%
Sep 16 2013,731.29,730.80,734.60,728.64,-,1.18%
Sep 17 2013,730.81,727.04,731.23,725.92,-,-0.07%
Sep 18 2013,729.86,728.54,735.68,727.78,-,-0.13%
Sep 19 2013,749.79,751.98,758.05,745.79,-,2.73%
Sep 20 2013,742.18,742.44,747.88,737.97,-,-1.01%
Sep 23 2013,735.37,739.40,740.27,732.10,-,-0.92%
Sep 24 2013,741.45,735.48,741.86,730.64,-,0.83%
Sep 25 2013,739.25,741.64,750.44,735.73,-,-0.30%
Sep 26 2013,736.42,737.61,740.39,733.29,-,-0.38%
Sep 27 2013,744.73,730.89,747.48,727.44,-,1.13%
Sep 30 2013,736.36,741.42,742.81,732.52,-,-1.12%
Oct 01 2013,745.47,744.02,747.89,738.79,-,1.24%
Oct 02 2013,741.53,744.05,745.60,740.25,-,-0.53%
Oct 03 2013,744.34,746.29,746.89,740.57,-,0.38%
Oct 04 2013,742.58,743.97,745.39,739.04,-,-0.24%
Oct 07 2013,736.72,738.34,740.00,734.12,-,-0.79%
Oct 08 2013,740.40,740.51,740.89,735.07,-,0.50%
Oct 09 2013,738.18,740.15,741.60,733.53,-,-0.30%
Oct 10 2013,747.87,739.23,748.89,738.51,-,1.31%
Oct 11 2013,741.14,746.61,747.38,737.62,-,-0.90%
Oct 14 2013,741.02,737.91,745.92,737.43,-,-0.02%
Oct 15 2013,744.15,744.70,745.92,740.10,-,0.42%
Oct 16 2013,742.02,743.86,746.75,740.97,-,-0.29%
Oct 17 2013,744.92,746.46,747.31,739.51,-,0.39%
Oct 18 2013,755.38,747.37,755.97,746.30,-,1.40%
Oct 21 2013,752.50,755.47,755.90,749.81,-,-0.38%
Oct 22 2013,751.40,752.58,754.78,747.14,-,-0.15%
Oct 23 2013,746.95,747.37,749.20,744.54,-,-0.59%
Oct 24 2013,748.09,752.52,753.64,745.67,-,0.15%
Oct 25 2013,746.06,747.79,748.22,743.95,-,-0.27%
Oct 28 2013,742.76,747.97,748.63,742.14,-,-0.44%
Oct 29 2013,739.64,737.78,742.78,736.74,-,-0.42%
Oct 30 2013,741.99,741.48,746.11,738.99,-,0.32%
Oct 31 2013,734.08,734.13,736.18,730.92,-,-1.07%
Nov 01 2013,727.27,733.77,735.26,726.92,-,-0.93%
Nov 04 2013,728.40,727.55,733.47,722.14,-,0.16%
Nov 05 2013,719.57,729.41,730.31,718.50,-,-1.21%
Nov 06 2013,717.27,720.63,721.95,714.86,-,-0.32%
Nov 07 2013,725.50,718.69,728.51,717.26,-,1.15%
Nov 08 2013,715.74,714.71,718.49,712.06,-,-1.35%
