Date,Price,Open,High,Low,Vol.,Change %
Jan 04 2011,10398.10,10326.00,10409.00,10309.50,-,1.65%
Jan 05 2011,10380.77,10369.00,10399.50,10349.50,-,-0.17%
Jan 06 2011,10529.76,10495.00,10529.76,10490.50,-,1.44%
Jan 07 2011,10541.04,10500.00,10542.50,10500.00,-,0.11%
Jan 11 2011,10510.68,10467.00,10533.50,10467.00,-,-0.29%
Jan 12 2011,10512.80,10558.00,10568.50,10498.50,-,0.02%
Jan 13 2011,10589.76,10598.00,10613.50,10568.50,-,0.73%
Jan 14 2011,10499.04,10563.00,10575.50,10490.50,-,-0.86%
Jan 17 2011,10502.86,10550.00,10560.50,10480.50,-,0.04%
Jan 18 2011,10518.98,10470.00,10545.50,10450.50,-,0.15%
Jan 19 2011,10557.10,10565.00,10580.50,10530.50,-,0.36%
Jan 20 2011,10437.31,10490.00,10500.50,10420.50,-,-1.13%
Jan 21 2011,10274.52,10465.00,10465.00,10255.50,-,-1.56%
Jan 24 2011,10345.11,10320.00,10345.50,10275.50,-,0.69%
Jan 25 2011,10464.42,10370.00,10475.50,10350.50,-,1.15%
Jan 26 2011,10401.90,10410.00,10440.50,10395.00,-,-0.60%
Jan 27 2011,10478.66,10455.00,10485.50,10415.50,-,0.74%
Jan 28 2011,10360.34,10465.00,10475.50,10315.50,-,-1.13%
Jan 31 2011,10237.92,10210.00,10260.50,10175.50,-,-1.18%
Feb 01 2011,10274.50,10270.00,10295.50,10240.50,-,0.36%
Feb 02 2011,10457.36,10365.00,10490.50,10360.00,-,1.78%
Feb 03 2011,10431.36,10410.00,10445.50,10410.00,-,-0.25%
Feb 04 2011,10543.52,10540.00,10580.50,10535.00,-,1.08%
Feb 07 2011,10592.04,10650.00,10655.00,10565.50,-,0.46%
Feb 08 2011,10635.98,10635.00,10645.00,10620.50,-,0.41%
Feb 09 2011,10617.83,10680.00,10695.00,10597.50,-,-0.17%
Feb 10 2011,10605.65,10577.00,10627.50,10567.50,-,-0.11%
Feb 14 2011,10725.54,10685.00,10725.54,10667.50,-,1.13%
Feb 15 2011,10746.67,10722.00,10752.50,10712.50,-,0.20%
Feb 16 2011,10808.29,10762.00,10837.50,10752.00,-,0.57%
Feb 17 2011,10836.64,10872.00,10887.50,10817.50,-,0.26%
Feb 18 2011,10842.80,10817.00,10852.50,10807.50,-,0.06%
Feb 21 2011,10857.53,10810.00,10857.53,10787.50,-,0.14%
Feb 22 2011,10664.70,10737.00,10752.50,10637.50,-,-1.78%
Feb 23 2011,10579.10,10587.00,10662.50,10567.00,-,-0.80%
Feb 24 2011,10452.71,10543.00,10543.50,10428.50,-,-1.19%
Feb 25 2011,10526.76,10473.00,10530.50,10453.50,-,0.71%
Feb 28 2011,10624.09,10500.00,10625.50,10445.50,-,0.92%
Mar 01 2011,10754.03,10668.00,10754.03,10665.00,-,1.22%
Mar 02 2011,10492.38,10610.00,10620.50,10492.38,-,-2.43%
