Date,Price,Open,High,Low,Vol.,Change %
Jan 03 2011,919.89,907.22,924.10,907.22,-,1.39%
Jan 04 2011,909.76,919.89,922.24,903.22,-,-1.10%
Jan 05 2011,914.97,909.73,915.89,906.59,-,0.57%
Jan 06 2011,912.83,914.92,918.60,911.55,-,-0.23%
Jan 07 2011,910.53,912.82,917.86,901.58,-,-0.25%
Jan 10 2011,915.72,910.53,917.99,900.84,-,0.57%
Jan 11 2011,919.29,915.72,921.95,915.66,-,0.39%
Jan 12 2011,925.20,919.11,926.21,919.11,-,0.64%
Jan 13 2011,924.53,925.19,926.59,921.81,-,-0.07%
Jan 14 2011,931.07,924.53,931.07,922.10,-,0.71%
Jan 18 2011,939.56,931.07,939.56,927.91,-,0.91%
Jan 19 2011,923.93,939.56,939.56,922.24,-,-1.66%
Jan 20 2011,916.74,923.93,924.06,912.63,-,-0.78%
Jan 21 2011,914.36,916.74,922.71,913.75,-,-0.26%
Jan 24 2011,921.83,914.35,924.01,914.35,-,0.82%
Jan 25 2011,923.25,921.81,923.25,915.01,-,0.15%
Jan 26 2011,930.78,923.19,934.29,923.19,-,0.82%
Jan 27 2011,935.33,930.70,936.96,929.86,-,0.49%
Jan 28 2011,917.72,935.30,937.22,916.50,-,-1.88%
Jan 31 2011,924.77,917.70,930.14,917.70,-,0.77%
Feb 01 2011,939.10,924.77,940.67,924.77,-,1.55%
Feb 02 2011,937.03,939.09,942.37,936.18,-,-0.22%
Feb 03 2011,939.66,936.91,941.20,929.88,-,0.28%
Feb 04 2011,944.95,939.64,945.78,938.24,-,0.56%
Feb 07 2011,953.13,944.92,956.69,944.92,-,0.87%
Feb 08 2011,957.67,953.07,957.79,951.00,-,0.48%
Feb 09 2011,954.88,957.66,959.07,952.74,-,-0.29%
Feb 10 2011,960.18,954.78,960.87,950.81,-,0.56%
Feb 11 2011,969.50,960.08,970.03,957.38,-,0.97%
Feb 14 2011,974.38,969.47,974.49,969.47,-,0.50%
Feb 15 2011,969.73,974.37,974.37,968.78,-,-0.48%
Feb 16 2011,976.85,969.56,978.93,969.56,-,0.73%
Feb 17 2011,981.49,976.75,982.74,974.67,-,0.47%
Feb 18 2011,982.17,981.49,983.84,978.56,-,0.07%
Feb 22 2011,958.91,982.16,982.16,957.95,-,-2.37%
Feb 23 2011,945.39,958.84,961.75,937.10,-,-1.41%
Feb 24 2011,944.81,945.31,952.03,936.08,-,-0.06%
Feb 25 2011,964.21,944.67,964.21,944.67,-,2.05%
Feb 28 2011,966.59,964.20,972.20,962.14,-,0.25%
Mar 01 2011,950.14,966.56,969.84,947.57,-,-1.70%
Mar 02 2011,954.45,950.05,959.99,949.37,-,0.45%
Mar 03 2011,975.34,954.43,976.75,954.43,-,2.19%
Mar 04 2011,968.55,975.31,975.59,962.65,-,-0.70%
Mar 07 2011,955.66,968.50,972.98,949.10,-,-1.33%
Mar 08 2011,966.65,955.60,970.71,952.28,-,1.15%
Mar 09 2011,964.53,966.63,967.90,959.31,-,-0.22%
Mar 10 2011,946.40,964.52,964.52,944.33,-,-1.88%
Mar 11 2011,952.94,946.22,955.72,941.97,-,0.69%
Mar 14 2011,948.31,952.91,953.26,941.79,-,-0.49%
Mar 15 2011,941.69,948.22,948.22,921.66,-,-0.70%
Mar 16 2011,932.40,941.67,947.63,928.82,-,-0.99%
Mar 17 2011,937.61,932.38,946.12,932.38,-,0.56%
Mar 18 2011,942.69,937.61,947.41,937.61,-,0.54%
Mar 21 2011,961.42,942.69,962.69,942.69,-,1.99%
Mar 22 2011,954.94,961.42,963.06,954.01,-,-0.67%
Mar 23 2011,953.67,954.91,956.48,944.41,-,-0.13%
Mar 24 2011,962.82,953.65,964.73,950.40,-,0.96%
Mar 25 2011,970.43,962.82,977.67,962.82,-,0.79%
Mar 28 2011,966.24,970.42,975.10,965.92,-,-0.43%
Mar 29 2011,975.07,966.06,975.34,961.73,-,0.91%
Mar 30 2011,984.71,974.94,985.89,974.94,-,0.99%
Mar 31 2011,989.05,984.70,989.62,983.30,-,0.44%
Apr 01 2011,996.43,989.01,998.05,989.01,-,0.75%
Apr 04 2011,997.02,996.43,999.68,993.85,-,0.06%
Apr 05 2011,1000.55,997.02,1004.99,995.49,-,0.35%
Apr 06 2011,1000.83,1000.46,1007.30,996.56,-,0.03%
Apr 07 2011,994.93,1000.79,1003.54,992.62,-,-0.59%
Apr 08 2011,987.62,994.92,1000.81,982.91,-,-0.73%
Apr 11 2011,980.68,987.60,990.40,977.94,-,-0.70%
Apr 12 2011,970.83,980.66,980.66,969.31,-,-1.00%
Apr 13 2011,974.11,970.71,978.53,968.89,-,0.34%
Apr 14 2011,974.45,974.10,975.44,965.47,-,0.03%
Apr 15 2011,982.57,974.45,983.70,973.35,-,0.83%
Apr 18 2011,966.38,982.57,982.57,958.54,-,-1.65%
Apr 19 2011,971.56,966.38,972.15,965.23,-,0.54%
Apr 20 2011,988.79,971.56,988.97,971.56,-,1.77%
Apr 21 2011,995.16,988.79,995.19,988.79,-,0.64%
Apr 25 2011,994.51,995.13,996.13,989.68,-,-0.07%
Apr 26 2011,1004.59,994.51,1007.02,994.51,-,1.01%
Apr 27 2011,1010.98,1004.43,1010.98,1001.14,-,0.64%
Apr 28 2011,1012.64,1010.95,1014.72,1009.09,-,0.16%
Apr 29 2011,1015.26,1012.64,1016.52,1009.66,-,0.26%
May 02 2011,1009.62,1015.24,1018.65,1008.22,-,-0.56%
May 03 2011,998.97,1009.61,1009.61,993.75,-,-1.05%
May 04 2011,990.28,998.88,1001.20,986.09,-,-0.87%
May 05 2011,986.45,990.25,995.82,981.42,-,-0.39%
May 06 2011,988.90,986.34,1000.65,984.73,-,0.25%
May 09 2011,998.10,988.89,999.77,988.02,-,0.93%
May 10 2011,1008.98,998.08,1010.66,998.08,-,1.09%
May 11 2011,997.87,1008.85,1008.85,993.71,-,-1.10%
May 12 2011,1004.58,997.75,1006.64,988.96,-,0.67%
May 13 2011,993.92,1004.52,1005.70,991.79,-,-1.06%
May 16 2011,984.61,993.88,997.75,983.96,-,-0.94%
May 17 2011,978.12,984.61,984.61,971.75,-,-0.66%
May 18 2011,992.89,977.99,993.53,977.87,-,1.51%
May 19 2011,994.69,992.84,998.87,987.51,-,0.18%
May 20 2011,986.83,994.69,994.69,981.99,-,-0.79%
May 23 2011,971.11,986.78,986.78,969.63,-,-1.59%
May 24 2011,968.62,971.11,976.34,965.70,-,-0.26%
May 25 2011,975.66,968.62,977.76,964.76,-,0.73%
May 26 2011,984.17,975.65,985.32,972.14,-,0.87%
May 27 2011,990.19,984.17,992.39,984.17,-,0.61%
May 31 2011,1000.25,990.55,1000.36,990.55,-,1.02%
Jun 01 2011,975.32,1000.23,1000.46,974.52,-,-2.49%
Jun 02 2011,974.29,975.32,980.61,969.98,-,-0.11%
Jun 03 2011,961.25,974.27,974.27,960.54,-,-1.34%
Jun 06 2011,947.29,960.83,961.23,947.13,-,-1.45%
Jun 07 2011,951.00,947.29,957.46,947.29,-,0.39%
Jun 08 2011,941.94,950.99,950.99,941.39,-,-0.95%
Jun 09 2011,946.26,942.00,949.76,939.95,-,0.46%
Jun 10 2011,931.94,946.00,946.00,929.96,-,-1.51%
Jun 13 2011,929.57,931.94,937.64,925.35,-,-0.25%
Jun 14 2011,945.84,929.70,948.78,929.70,-,1.75%
Jun 15 2011,931.20,944.90,944.90,928.73,-,-1.55%
Jun 16 2011,930.72,931.20,936.64,922.54,-,-0.05%
Jun 17 2011,932.75,931.32,938.62,930.80,-,0.22%
Jun 20 2011,940.45,930.72,942.68,930.36,-,0.83%
Jun 21 2011,958.30,940.56,959.29,940.56,-,1.90%
Jun 22 2011,953.94,958.30,962.66,953.71,-,-0.45%
Jun 23 2011,953.65,953.47,954.36,934.67,-,-0.03%
Jun 24 2011,946.00,953.72,957.12,944.74,-,-0.80%
Jun 27 2011,950.34,946.20,953.56,941.53,-,0.46%
Jun 28 2011,964.88,950.51,965.19,950.51,-,1.53%
Jun 29 2011,972.23,965.06,975.09,963.70,-,0.76%
Jun 30 2011,978.64,972.23,982.51,972.23,-,0.66%
Jul 01 2011,995.05,978.74,995.82,978.55,-,1.68%
Jul 05 2011,995.80,995.05,997.04,990.16,-,0.08%
Jul 06 2011,1001.64,995.57,1002.63,991.58,-,0.59%
Jul 07 2011,1011.65,1002.44,1013.34,1002.44,-,1.00%
Jul 08 2011,1004.98,1011.65,1011.65,996.73,-,-0.66%
Jul 11 2011,983.26,1004.98,1004.98,981.62,-,-2.16%
Jul 12 2011,979.66,983.26,987.43,978.72,-,-0.37%
Jul 13 2011,982.45,979.66,994.21,979.66,-,0.28%
Jul 14 2011,970.21,982.45,990.14,968.32,-,-1.25%
Jul 15 2011,976.11,970.21,976.20,968.43,-,0.61%
Jul 18 2011,963.12,976.11,976.11,957.42,-,-1.33%
Jul 19 2011,981.86,963.12,982.23,963.12,-,1.95%
Jul 20 2011,980.40,981.86,982.83,975.81,-,-0.15%
Jul 21 2011,989.72,980.40,993.04,980.40,-,0.95%
Jul 22 2011,991.79,989.72,993.21,985.30,-,0.21%
Jul 25 2011,983.86,991.79,991.79,980.27,-,-0.80%
Jul 26 2011,977.36,983.86,984.09,976.10,-,-0.66%
Jul 27 2011,950.04,977.36,977.36,949.26,-,-2.80%
Jul 28 2011,945.98,950.04,960.65,945.29,-,-0.43%
Jul 29 2011,943.42,945.98,948.83,928.45,-,-0.27%
Aug 01 2011,936.93,943.42,954.35,928.63,-,-0.69%
Aug 02 2011,908.98,936.93,938.97,908.98,-,-2.98%
Aug 03 2011,913.10,908.98,913.34,888.39,-,0.45%
Aug 04 2011,859.59,913.10,913.10,859.41,-,-5.86%
Aug 05 2011,844.78,859.59,868.27,826.30,-,-1.72%
Aug 08 2011,775.07,844.78,844.78,775.07,-,-8.25%
Aug 09 2011,824.60,775.07,824.77,770.58,-,6.39%
Aug 10 2011,796.98,824.60,825.49,796.31,-,-3.35%
Aug 11 2011,839.28,796.98,849.18,796.98,-,5.31%
Aug 12 2011,843.08,839.28,850.75,835.76,-,0.45%
Aug 15 2011,865.79,843.08,865.82,843.08,-,2.69%
Aug 16 2011,853.50,865.79,865.79,845.94,-,-1.42%
Aug 17 2011,848.85,853.50,864.01,842.71,-,-0.54%
Aug 18 2011,802.12,848.85,848.85,796.25,-,-5.51%
Aug 19 2011,787.86,802.12,813.48,787.35,-,-1.78%
Aug 22 2011,788.58,787.86,805.05,784.67,-,0.09%
Aug 23 2011,821.24,788.58,821.24,786.31,-,4.14%
Aug 24 2011,832.77,821.24,833.98,814.17,-,1.40%
Aug 25 2011,814.27,832.77,841.87,811.65,-,-2.22%
Aug 26 2011,835.92,814.27,837.84,798.89,-,2.66%
Aug 29 2011,868.70,835.92,868.82,835.92,-,3.92%
Aug 30 2011,872.39,868.70,877.48,858.53,-,0.42%
Aug 31 2011,875.00,872.39,889.16,868.34,-,0.30%
Sep 01 2011,860.48,875.00,883.81,859.40,-,-1.66%
Sep 02 2011,832.99,860.48,860.48,830.19,-,-3.19%
Sep 06 2011,827.58,832.99,832.99,808.77,-,-0.65%
Sep 07 2011,858.65,827.58,859.03,827.58,-,3.75%
Sep 08 2011,847.00,858.65,862.11,844.01,-,-1.36%
Sep 09 2011,823.36,847.00,847.00,817.53,-,-2.79%
Sep 12 2011,827.86,823.36,827.87,808.64,-,0.55%
Sep 13 2011,840.28,827.86,842.80,826.47,-,1.50%
Sep 14 2011,855.23,840.28,864.89,831.38,-,1.78%
Sep 15 2011,866.39,855.23,867.29,852.61,-,1.30%
Sep 16 2011,866.09,866.39,872.62,859.04,-,-0.03%
Sep 19 2011,854.40,866.09,866.09,841.92,-,-1.35%
Sep 20 2011,843.22,854.40,865.57,843.22,-,-1.31%
Sep 21 2011,814.27,843.22,846.06,814.21,-,-3.43%
Sep 22 2011,784.52,814.27,814.27,773.96,-,-3.65%
Sep 23 2011,794.43,784.52,795.63,780.77,-,1.26%
Sep 26 2011,809.93,794.43,810.75,783.56,-,1.95%
Sep 27 2011,823.77,809.93,841.81,809.93,-,1.71%
Sep 28 2011,796.05,823.77,827.76,795.65,-,-3.37%
Sep 29 2011,804.16,796.05,813.63,785.42,-,1.02%
Sep 30 2011,781.26,804.16,804.16,781.21,-,-2.85%
Oct 03 2011,744.98,781.26,785.83,744.98,-,-4.64%
Oct 04 2011,775.71,744.98,776.27,731.62,-,4.12%
Oct 05 2011,791.90,775.71,795.34,767.29,-,2.09%
Oct 06 2011,812.04,791.90,812.32,786.66,-,2.54%
Oct 07 2011,799.18,812.04,817.16,796.04,-,-1.58%
Oct 10 2011,827.54,799.18,827.55,799.18,-,3.55%
Oct 11 2011,828.08,827.54,833.16,820.36,-,0.07%
Oct 12 2011,839.89,828.08,848.66,828.08,-,1.43%
Oct 13 2011,840.33,839.89,843.60,825.64,-,0.05%
Oct 14 2011,855.84,840.33,857.38,840.33,-,1.85%
Oct 17 2011,830.98,855.84,855.84,829.33,-,-2.90%
Oct 18 2011,852.58,830.98,856.70,822.44,-,2.60%
Oct 19 2011,838.84,852.58,855.65,836.68,-,-1.61%
Oct 20 2011,842.57,838.84,843.85,823.96,-,0.44%
Oct 21 2011,861.26,842.57,861.95,842.57,-,2.22%
Oct 24 2011,886.22,861.26,887.36,861.26,-,2.90%
Oct 25 2011,864.71,886.22,886.22,863.36,-,-2.43%
Oct 26 2011,875.31,864.71,879.49,855.41,-,1.23%
Oct 27 2011,912.99,875.31,920.24,875.31,-,4.30%
