Date,Price,Open,High,Low,Vol.,Change %
Jan 04 2011,925.09,930.96,933.78,919.39,122.12M,-0.22%
Jan 05 2011,921.22,920.46,924.53,914.84,118.64M,-0.42%
Jan 06 2011,913.03,921.65,922.58,912.61,117.40M,-0.89%
Jan 07 2011,911.90,910.72,915.10,908.51,109.33M,-0.12%
Jan 10 2011,912.46,912.71,912.82,905.91,99.03M,0.06%
Jan 11 2011,922.95,917.77,923.21,913.29,139.89M,1.15%
Jan 12 2011,928.00,928.12,930.73,923.06,181.13M,0.55%
Jan 13 2011,921.92,929.24,929.63,920.54,185.02M,-0.66%
Jan 14 2011,922.22,919.69,922.22,917.44,143.90M,0.03%
Jan 17 2011,920.47,920.49,922.22,918.80,62.67M,-0.19%
Jan 18 2011,928.13,924.77,928.31,920.45,206.28M,0.83%
Jan 19 2011,921.51,930.96,931.16,921.37,136.27M,-0.71%
Jan 20 2011,913.21,915.42,919.94,906.26,145.39M,-0.90%
Jan 21 2011,904.99,915.13,918.38,904.99,212.57M,-0.90%
Jan 24 2011,910.08,907.79,912.39,904.96,109.22M,0.56%
Jan 25 2011,905.03,906.96,909.60,902.28,157.18M,-0.55%
Jan 26 2011,919.41,907.19,919.83,905.34,145.84M,1.59%
Jan 27 2011,915.03,920.66,921.22,913.55,125.89M,-0.48%
Jan 28 2011,919.24,914.10,921.43,914.43,114.47M,0.46%
Jan 31 2011,921.65,920.37,924.53,919.24,117.97M,0.26%
Feb 01 2011,934.40,926.76,934.40,921.73,146.96M,1.38%
Feb 02 2011,933.09,934.23,934.26,931.06,111.65M,-0.14%
Feb 03 2011,944.38,936.99,944.38,933.37,184.34M,1.21%
Feb 04 2011,941.17,945.34,945.94,939.92,123.97M,-0.34%
Feb 07 2011,944.72,945.38,948.32,941.31,144.81M,0.38%
Feb 08 2011,949.76,947.96,950.58,945.22,120.58M,0.53%
Feb 09 2011,941.34,951.65,951.50,941.25,125.61M,-0.89%
Feb 10 2011,940.56,938.80,941.80,935.04,109.12M,-0.08%
Feb 11 2011,940.06,940.70,943.43,939.60,102.38M,-0.05%
Feb 14 2011,948.43,943.46,949.87,940.25,111.81M,0.89%
Feb 15 2011,952.05,951.27,953.19,948.40,114.55M,0.38%
Feb 16 2011,954.28,954.22,955.53,951.19,103.55M,0.23%
Feb 17 2011,955.58,955.48,955.58,950.77,102.15M,0.14%
Feb 18 2011,958.42,956.10,960.07,955.10,129.88M,0.30%
Feb 22 2011,947.05,962.04,962.29,946.76,131.72M,-1.19%
Feb 23 2011,946.95,949.01,952.71,945.06,131.19M,-0.01%
Feb 24 2011,937.34,945.96,948.09,936.97,124.22M,-1.01%
Feb 25 2011,950.74,941.02,950.74,937.40,156.98M,1.43%
Feb 28 2011,957.76,953.71,959.39,950.90,160.48M,0.74%
Mar 01 2011,962.03,962.10,964.00,957.91,132.75M,0.45%
Mar 02 2011,960.76,962.44,962.47,958.16,100.01M,-0.13%
Mar 03 2011,962.82,960.32,963.29,958.91,126.05M,0.21%
Mar 04 2011,968.12,964.98,968.65,962.82,114.70M,0.55%
Mar 07 2011,957.92,972.31,973.28,957.07,105.45M,-1.05%
Mar 08 2011,950.66,957.35,957.91,948.77,123.96M,-0.76%
Mar 09 2011,940.91,950.83,951.25,939.39,140.89M,-1.03%
Mar 10 2011,921.62,932.44,940.84,917.05,138.75M,-2.05%
Mar 11 2011,923.06,909.01,924.70,905.62,108.75M,0.16%
Mar 14 2011,914.76,916.27,922.97,909.05,161.43M,-0.90%
Mar 15 2011,907.08,889.44,910.32,885.20,217.74M,-0.84%
Mar 16 2011,907.79,910.55,918.28,902.64,173.62M,0.08%
Mar 17 2011,922.73,916.19,923.31,910.07,143.45M,1.65%
Mar 18 2011,929.04,929.52,933.33,922.79,164.56M,0.68%
Mar 21 2011,944.49,938.50,944.54,929.23,109.62M,1.66%
Mar 22 2011,944.21,943.89,944.52,939.73,110.64M,-0.03%
Mar 23 2011,956.84,946.11,957.93,944.63,127.00M,1.34%
Mar 24 2011,954.43,959.23,959.86,954.43,119.33M,-0.25%
Mar 25 2011,956.57,954.45,960.05,953.78,99.50M,0.22%
Mar 28 2011,948.55,953.20,956.33,948.55,101.69M,-0.84%
Mar 29 2011,948.97,947.91,951.24,944.97,104.46M,0.04%
Mar 30 2011,960.49,953.73,960.58,949.11,153.39M,1.21%
Mar 31 2011,966.07,964.16,966.07,961.15,114.66M,0.58%
Apr 01 2011,965.31,965.88,966.36,962.75,137.83M,-0.08%
Apr 04 2011,971.91,972.16,974.33,966.75,153.26M,0.68%
Apr 05 2011,977.88,970.79,977.88,969.10,140.70M,0.61%
Apr 06 2011,976.10,981.36,981.90,974.28,138.46M,-0.18%
Apr 07 2011,971.56,975.91,979.25,971.30,113.31M,-0.47%
Apr 08 2011,980.30,978.20,982.29,971.60,119.58M,0.90%
Apr 11 2011,964.43,978.23,980.30,961.83,98.67M,-1.62%
Apr 12 2011,949.43,960.39,964.43,946.49,131.09M,-1.56%
Apr 13 2011,956.73,954.78,957.18,949.63,130.80M,0.77%
Apr 14 2011,955.48,955.31,957.83,953.71,103.36M,-0.13%
Apr 15 2011,951.97,958.05,959.03,951.97,96.46M,-0.37%
Apr 18 2011,943.47,949.37,951.79,937.19,105.45M,-0.89%
Apr 19 2011,945.81,942.61,946.50,939.29,101.09M,0.25%
Apr 20 2011,958.20,953.61,960.88,946.52,104.40M,1.31%
Apr 21 2011,961.86,962.50,962.71,958.20,73.62M,0.38%
Apr 25 2011,960.00,965.50,966.19,958.68,129.30M,-0.19%
Apr 26 2011,957.19,957.85,959.57,954.42,119.62M,-0.29%
Apr 27 2011,958.48,957.43,961.46,952.61,137.98M,0.13%
Apr 28 2011,958.70,958.93,963.27,957.27,93.01M,0.02%
Apr 29 2011,959.19,959.69,959.70,956.82,110.02M,0.05%
May 02 2011,954.47,955.28,961.63,952.57,2.69M,-0.49%
May 03 2011,943.04,952.32,954.48,939.63,127.44M,-1.20%
May 04 2011,936.95,942.28,943.04,929.43,111.07M,-0.65%
May 05 2011,924.53,931.37,936.95,921.97,123.28M,-1.33%
May 06 2011,929.73,927.00,935.92,924.47,95.18M,0.56%
May 09 2011,942.13,935.79,942.46,929.85,105.28M,1.33%
May 10 2011,940.20,942.29,943.75,940.20,99.81M,-0.20%
May 11 2011,925.10,938.34,940.12,922.96,116.04M,-1.61%
May 12 2011,925.04,920.30,929.13,914.81,174.32M,-0.01%
May 13 2011,926.73,928.58,931.67,923.87,98.02M,0.18%
May 16 2011,922.06,924.43,931.73,922.06,99.47M,-0.50%
May 17 2011,919.51,920.33,923.11,916.23,110.91M,-0.28%
May 18 2011,930.03,923.60,931.50,920.09,128.36M,1.14%
May 19 2011,932.47,931.62,934.12,929.03,127.26M,0.26%
May 20 2011,937.37,933.05,937.37,928.40,119.95M,0.53%
May 24 2011,934.63,936.42,939.83,932.65,110.65M,-0.29%
May 25 2011,941.24,935.57,941.98,935.09,99.53M,0.71%
May 26 2011,943.58,938.53,943.58,937.08,157.87M,0.25%
May 27 2011,947.97,945.09,949.20,943.98,166.65M,0.47%
May 30 2011,951.02,949.45,951.11,948.12,62.75M,0.32%
May 31 2011,951.62,953.15,953.08,947.25,144.04M,0.06%
Jun 01 2011,941.92,949.93,952.13,941.56,105.52M,-1.02%
Jun 02 2011,935.20,942.15,945.46,934.79,108.40M,-0.71%
Jun 03 2011,927.75,924.40,936.17,926.14,112.04M,-0.80%
Jun 06 2011,914.91,928.22,928.63,914.61,83.16M,-1.38%
Jun 07 2011,912.15,915.07,917.72,911.92,105.03M,-0.30%
Jun 08 2011,899.73,907.52,912.00,899.30,137.16M,-1.36%
Jun 09 2011,905.06,900.53,905.06,899.27,116.49M,0.59%
Jun 10 2011,892.39,900.59,904.78,891.02,90.64M,-1.40%
Jun 13 2011,878.85,889.54,892.39,877.06,97.94M,-1.52%
Jun 14 2011,890.71,881.52,892.13,878.83,134.20M,1.35%
Jun 15 2011,882.66,885.87,889.57,880.58,125.20M,-0.90%
