Date,Price,Open,High,Low,Vol.,Change %
Jan 04 2011,13402.31,13530.35,13529.98,13326.70,203.99M,-0.30%
Jan 05 2011,13395.99,13365.33,13400.03,13301.15,226.95M,-0.05%
Jan 06 2011,13311.67,13407.56,13413.18,13290.89,225.91M,-0.63%
Jan 07 2011,13272.30,13263.08,13329.64,13233.32,208.03M,-0.30%
Jan 10 2011,13245.12,13291.61,13295.37,13139.50,179.38M,-0.20%
Jan 11 2011,13401.05,13341.90,13421.81,13245.12,248.49M,1.18%
Jan 12 2011,13460.21,13467.43,13497.68,13402.27,270.39M,0.44%
Jan 13 2011,13401.48,13492.26,13505.44,13383.53,279.59M,-0.44%
Jan 14 2011,13464.06,13408.89,13464.06,13376.14,245.39M,0.47%
Jan 17 2011,13440.11,13427.11,13472.99,13424.38,93.11M,-0.18%
Jan 18 2011,13559.20,13486.19,13565.62,13440.69,288.00M,0.89%
Jan 19 2011,13439.04,13570.06,13572.32,13411.45,219.38M,-0.89%
Jan 20 2011,13331.32,13362.41,13429.50,13238.89,260.26M,-0.80%
Jan 21 2011,13258.57,13355.29,13408.01,13258.57,406.15M,-0.55%
Jan 24 2011,13347.58,13313.74,13369.33,13264.72,185.93M,0.67%
Jan 25 2011,13259.63,13322.40,13347.04,13192.72,253.73M,-0.66%
Jan 26 2011,13465.75,13300.27,13477.93,13259.63,252.21M,1.55%
Jan 27 2011,13410.20,13473.01,13497.20,13397.46,215.48M,-0.41%
Jan 28 2011,13437.58,13406.42,13497.55,13406.03,234.65M,0.20%
Jan 31 2011,13551.99,13449.74,13588.47,13438.38,231.29M,0.85%
Feb 01 2011,13712.62,13617.70,13714.49,13552.27,253.79M,1.19%
Feb 02 2011,13680.29,13729.09,13731.30,13673.14,193.31M,-0.24%
Feb 03 2011,13841.35,13733.05,13844.11,13683.46,287.57M,1.18%
Feb 04 2011,13791.85,13843.51,13863.13,13778.10,212.05M,-0.36%
Feb 07 2011,13811.93,13854.06,13872.13,13791.81,240.76M,0.15%
Feb 08 2011,13892.52,13841.30,13909.84,13786.40,219.47M,0.58%
Feb 09 2011,13784.30,13892.30,13905.41,13774.77,218.83M,-0.78%
Feb 10 2011,13840.57,13741.62,13848.59,13692.79,210.19M,0.41%
Feb 11 2011,13766.76,13823.82,13854.01,13766.76,190.41M,-0.53%
Feb 14 2011,13910.77,13835.11,13923.42,13776.60,198.35M,1.05%
