Date,Price,Open,High,Low,Vol.,Change %
Jan 04 2011,2852.65,2825.33,2855.40,2810.11,11.01B,1.59%
Jan 05 2011,2838.59,2833.12,2850.49,2824.30,10.44B,-0.49%
Jan 06 2011,2824.20,2838.43,2853.88,2816.95,8.47B,-0.51%
Jan 07 2011,2838.80,2820.66,2868.01,2807.87,11.31B,0.52%
Jan 10 2011,2791.81,2832.62,2847.36,2786.86,9.08B,-1.66%
Jan 11 2011,2804.05,2783.48,2810.76,2770.34,8.06B,0.44%
Jan 12 2011,2821.31,2811.79,2828.47,2788.13,7.92B,0.62%
Jan 13 2011,2827.71,2830.53,2837.53,2810.87,7.49B,0.23%
Jan 14 2011,2791.34,2817.05,2817.05,2780.44,7.68B,-1.29%
Jan 17 2011,2706.66,2772.45,2780.94,2698.78,9.25B,-3.03%
Jan 18 2011,2708.98,2696.15,2715.41,2683.37,6.04B,0.09%
Jan 19 2011,2758.10,2707.82,2759.60,2700.81,7.85B,1.81%
Jan 20 2011,2677.65,2752.80,2752.80,2676.13,8.60B,-2.92%
Jan 21 2011,2715.29,2668.68,2746.18,2667.29,9.56B,1.41%
Jan 24 2011,2695.72,2716.52,2736.11,2690.65,8.79B,-0.72%
Jan 25 2011,2677.43,2691.69,2701.04,2661.45,6.95B,-0.68%
Jan 26 2011,2708.81,2677.17,2710.74,2676.77,6.08B,1.17%
Jan 27 2011,2749.15,2690.82,2753.00,2677.21,10.56B,1.49%
Jan 28 2011,2752.75,2741.31,2759.44,2733.29,8.54B,0.13%
Jan 31 2011,2790.69,2751.53,2790.92,2748.54,9.15B,1.38%
Feb 01 2011,2798.96,2795.07,2805.05,2785.30,7.34B,0.30%
Feb 09 2011,2774.07,2778.70,2804.21,2764.87,8.73B,-0.89%
Feb 10 2011,2818.16,2769.65,2819.06,2760.18,9.79B,1.59%
Feb 11 2011,2827.33,2815.12,2835.41,2807.61,10.78B,0.33%
Feb 14 2011,2899.13,2828.57,2906.26,2828.57,15.42B,2.54%
Feb 15 2011,2899.24,2900.43,2934.47,2892.64,15.24B,0.00%
Feb 16 2011,2923.90,2893.68,2924.19,2882.55,12.78B,0.85%
Feb 17 2011,2926.96,2929.26,2939.28,2905.03,13.04B,0.10%
Feb 18 2011,2899.79,2924.23,2924.23,2890.26,11.38B,-0.93%
Feb 21 2011,2932.25,2886.54,2932.82,2884.19,11.89B,1.12%
Feb 22 2011,2855.52,2941.32,2944.41,2851.62,15.30B,-2.62%
Feb 23 2011,2862.63,2844.99,2868.48,2839.20,11.11B,0.25%
Feb 24 2011,2878.60,2861.39,2881.54,2854.56,10.98B,0.56%
Feb 25 2011,2878.57,2876.78,2890.32,2848.65,10.01B,-0.00%
Feb 28 2011,2905.05,2880.17,2906.17,2861.82,11.87B,0.92%
Mar 01 2011,2918.92,2906.28,2931.58,2901.55,13.66B,0.48%
Mar 02 2011,2913.81,2905.51,2924.96,2883.57,13.34B,-0.18%
Mar 03 2011,2902.98,2918.73,2937.56,2900.76,15.05B,-0.37%
Mar 04 2011,2942.31,2902.19,2944.46,2898.08,11.83B,1.35%
Mar 07 2011,2996.21,2952.72,3000.43,2952.72,16.01B,1.83%
Mar 08 2011,2999.94,2996.73,3001.62,2976.60,12.67B,0.12%
Mar 09 2011,3002.15,3002.55,3012.04,2989.34,12.48B,0.07%
Mar 10 2011,2957.14,2995.77,2995.77,2954.37,12.38B,-1.50%
Mar 11 2011,2933.80,2942.42,2966.98,2927.68,11.60B,-0.79%
Mar 14 2011,2937.63,2923.98,2939.65,2914.46,11.69B,0.13%
Mar 15 2011,2896.26,2927.98,2927.98,2850.94,15.50B,-1.41%
Mar 16 2011,2930.80,2894.25,2934.02,2894.25,13.08B,1.19%
Mar 17 2011,2897.30,2906.95,2935.62,2885.65,13.78B,-1.14%
Mar 18 2011,2906.89,2920.81,2930.61,2900.87,10.06B,0.33%
Mar 21 2011,2909.14,2913.91,2927.07,2895.15,9.68B,0.08%
Mar 22 2011,2919.14,2917.69,2923.39,2884.75,9.51B,0.34%
Mar 23 2011,2948.48,2919.02,2950.42,2911.63,11.26B,1.01%
Mar 24 2011,2946.71,2949.85,2958.66,2942.13,10.90B,-0.06%
Mar 25 2011,2977.81,2948.54,2985.08,2946.70,13.64B,1.06%
Mar 28 2011,2984.01,2985.36,3005.78,2979.20,15.60B,0.21%
Mar 29 2011,2958.08,2979.86,2994.17,2953.54,16.85B,-0.87%
Mar 30 2011,2955.77,2955.45,2968.18,2935.75,12.65B,-0.08%
Mar 31 2011,2928.11,2954.65,2961.63,2914.38,10.89B,-0.94%
Apr 01 2011,2967.41,2932.48,2967.85,2924.39,9.98B,1.34%
Apr 06 2011,3001.36,2964.21,3005.24,2963.90,14.17B,1.14%
Apr 07 2011,3007.91,3003.20,3012.29,2990.31,12.47B,0.22%
Apr 08 2011,3030.02,3005.37,3031.10,2998.34,11.43B,0.74%
Apr 11 2011,3022.75,3037.91,3059.57,3019.89,14.72B,-0.24%
Apr 12 2011,3021.37,3012.79,3039.12,3003.45,14.60B,-0.05%
Apr 13 2011,3050.40,3006.83,3050.40,2994.47,12.82B,0.96%
Apr 14 2011,3042.64,3049.67,3058.24,3036.73,12.95B,-0.25%
Apr 15 2011,3050.53,3036.34,3062.53,3020.16,12.85B,0.26%
Apr 18 2011,3057.33,3040.53,3067.46,3037.19,13.75B,0.22%
Apr 19 2011,2999.04,3038.81,3038.81,2996.22,14.19B,-1.91%
Apr 20 2011,3007.04,3005.97,3019.12,2992.67,11.97B,0.27%
Apr 21 2011,3026.67,3021.77,3035.47,3012.54,12.15B,0.65%
Apr 22 2011,3010.52,3025.70,3032.97,3004.46,11.85B,-0.53%
Apr 25 2011,2964.95,3003.03,3003.61,2964.64,11.73B,-1.51%
Apr 26 2011,2938.98,2956.95,2970.28,2931.50,9.52B,-0.88%
Apr 27 2011,2925.41,2946.33,2961.13,2907.66,10.55B,-0.46%
Apr 28 2011,2887.04,2937.95,2953.19,2884.84,10.52B,-1.31%
Apr 29 2011,2911.51,2886.63,2913.56,2871.01,8.75B,0.85%
May 03 2011,2932.19,2911.51,2933.46,2890.22,9.64B,0.71%
May 04 2011,2866.02,2916.84,2916.97,2860.07,11.15B,-2.26%
May 05 2011,2872.40,2854.77,2880.12,2849.91,9.11B,0.22%
May 06 2011,2863.89,2842.76,2881.71,2834.46,9.11B,-0.30%
May 09 2011,2872.46,2868.24,2885.18,2861.42,8.16B,0.30%
May 10 2011,2890.63,2876.98,2891.03,2865.10,8.13B,0.63%
May 11 2011,2883.42,2890.35,2897.14,2868.35,9.25B,-0.25%
May 12 2011,2844.08,2864.98,2876.45,2843.10,10.02B,-1.36%
May 13 2011,2871.03,2846.31,2871.99,2832.25,9.32B,0.95%
May 16 2011,2849.07,2864.38,2877.09,2846.31,8.46B,-0.76%
May 17 2011,2852.77,2846.45,2869.23,2821.20,9.48B,0.13%
May 18 2011,2872.77,2846.72,2877.43,2843.68,7.68B,0.70%
May 19 2011,2859.57,2879.39,2884.14,2856.83,7.70B,-0.46%
May 20 2011,2858.46,2858.31,2866.76,2850.45,7.07B,-0.04%
May 23 2011,2774.57,2853.29,2853.29,2771.12,9.86B,-2.93%
May 24 2011,2767.06,2766.06,2771.75,2744.78,7.49B,-0.27%
May 25 2011,2741.74,2764.56,2771.18,2737.33,7.44B,-0.92%
May 26 2011,2736.53,2755.39,2764.89,2734.54,7.87B,-0.19%
May 27 2011,2709.95,2739.39,2746.84,2708.55,8.25B,-0.97%
May 30 2011,2706.36,2704.48,2728.06,2689.21,6.52B,-0.13%
May 31 2011,2743.47,2707.56,2744.93,2702.09,6.79B,1.37%
Jun 01 2011,2743.57,2737.06,2744.56,2726.49,6.86B,0.00%
Jun 02 2011,2705.18,2715.32,2727.99,2676.54,8.60B,-1.40%
Jun 03 2011,2728.02,2701.77,2732.43,2701.25,6.80B,0.84%
Jun 07 2011,2744.30,2720.97,2745.77,2717.31,6.50B,0.60%
Jun 08 2011,2750.29,2742.04,2754.12,2715.25,7.43B,0.22%
Jun 09 2011,2703.35,2743.54,2747.33,2702.69,8.35B,-1.71%
Jun 10 2011,2705.14,2696.13,2707.74,2672.32,7.34B,0.07%
Jun 13 2011,2700.38,2687.65,2703.42,2669.40,6.31B,-0.18%
Jun 14 2011,2730.04,2696.22,2735.55,2691.67,8.31B,1.10%
Jun 15 2011,2705.43,2717.68,2730.48,2705.07,7.49B,-0.90%
Jun 16 2011,2664.28,2685.63,2691.94,2663.12,7.09B,-1.52%
Jun 17 2011,2642.82,2661.41,2675.03,2641.39,6.44B,-0.81%
Jun 20 2011,2621.25,2635.83,2637.88,2610.99,6.01B,-0.82%
Jun 21 2011,2646.48,2628.02,2648.02,2618.81,6.48B,0.96%
Jun 22 2011,2649.32,2648.53,2657.73,2633.47,5.83B,0.11%
Jun 23 2011,2688.25,2640.66,2693.42,2630.34,7.38B,1.47%
Jun 24 2011,2746.21,2678.05,2759.71,2674.30,12.58B,2.16%
Jun 27 2011,2758.23,2746.79,2769.04,2743.50,10.16B,0.44%
Jun 28 2011,2759.20,2759.71,2763.28,2736.40,8.83B,0.04%
Jun 29 2011,2728.48,2757.40,2759.23,2727.25,8.82B,-1.11%
Jun 30 2011,2762.08,2729.99,2774.37,2729.99,9.10B,1.23%
Jul 01 2011,2759.36,2767.83,2778.67,2752.97,9.21B,-0.10%
Jul 04 2011,2812.82,2770.94,2813.27,2770.94,12.20B,1.94%
Jul 05 2011,2816.35,2812.72,2818.14,2799.11,11.01B,0.13%
Jul 06 2011,2810.48,2811.82,2811.82,2780.73,10.31B,-0.21%
Jul 07 2011,2794.27,2813.19,2825.12,2793.89,11.65B,-0.58%
Jul 08 2011,2797.77,2797.03,2807.38,2784.13,8.62B,0.13%
Jul 11 2011,2802.69,2789.45,2807.32,2780.67,8.61B,0.18%
Jul 12 2011,2754.58,2783.72,2783.72,2752.19,9.67B,-1.72%
Jul 13 2011,2795.48,2756.03,2797.27,2756.03,9.19B,1.48%
Jul 14 2011,2810.44,2798.21,2811.70,2788.98,10.45B,0.54%
Jul 15 2011,2820.17,2803.58,2821.34,2794.16,10.75B,0.35%
Jul 18 2011,2816.69,2821.36,2826.96,2807.11,10.81B,-0.12%
Jul 19 2011,2796.98,2804.92,2809.31,2790.69,9.27B,-0.70%
Jul 20 2011,2794.20,2810.44,2817.28,2779.38,8.40B,-0.10%
